category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Pharmacy,What does OTC stand for in pharmacy?,Over The Counter,Over Total Cost,Only Tested Compound,Oral Treatment Course,0
Question Bank,Pharmacy,Which organ is primarily responsible for drug metabolism?,Kidney,Liver,Lung,Heart,1
Question Bank,Pharmacy,What does the abbreviation 'bid' mean on a prescription?,Once daily,Twice daily,Three times daily,Four times daily,1
Question Bank,Pharmacy,Which route of drug administration has the fastest onset of action?,Oral,Sublingual,Intravenous,Intramuscular,2
Question Bank,Pharmacy,What is the brand name of paracetamol in most countries?,Brufen,Tylenol/Panadol,Aspirin,Ibuprofen,1
Question Bank,Pharmacy,Which vitamin is also known as ascorbic acid?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,2
Question Bank,Pharmacy,What does 'Rx' symbol on a prescription mean?,Recommended,Take/Prescription required,Refill,Restricted,1
Question Bank,Pharmacy,Which class of drugs reduces fever?,Antibiotics,Antipyretics,Antihistamines,Antacids,1
Question Bank,Pharmacy,What is the normal adult dose of paracetamol per dose?,100 mg,250 mg,500-1000 mg,2000 mg,2
Question Bank,Pharmacy,Which organ primarily excretes drugs from the body?,Liver,Skin,Kidney,Lung,2
Question Bank,Pharmacy,What does 'tds' mean on a prescription?,Twice daily,Three times daily,Four times daily,Once daily,1
Question Bank,Pharmacy,Aspirin belongs to which drug class?,Opioid,NSAID,Antibiotic,Antifungal,1
Question Bank,Pharmacy,What is the antidote for paracetamol overdose?,Naloxone,N-acetylcysteine,Flumazenil,Atropine,1
Question Bank,Pharmacy,Which type of drug requires a prescription to be dispensed?,OTC drug,Prescription-only medicine (POM),Herbal supplement,Vitamin tablet,1
Question Bank,Pharmacy,What does 'stat' mean in a medication order?,Slowly,Immediately/at once,Stop after 3 days,Standard dose,1
Question Bank,Pharmacy,Which route delivers medication directly into the skin layers?,Intravenous,Intramuscular,Intradermal,Subcutaneous,2
Question Bank,Pharmacy,What is bioavailability?,Speed of drug excretion,Fraction of drug that reaches systemic circulation unchanged,Drug toxicity level,Drug solubility in water,1
Question Bank,Pharmacy,Penicillin is an example of which drug class?,Antifungal,Antiviral,Antibiotic,Antiparasitic,2
Question Bank,Pharmacy,Which part of a tablet coating protects the drug from stomach acid?,Film coat,Sugar coat,Enteric coat,Color coat,2
Question Bank,Pharmacy,What does 'qid' mean on a prescription?,Once daily,Twice daily,Three times daily,Four times daily,3
Question Bank,Pharmacy,Which drug is a common antihistamine for allergies?,Amoxicillin,Cetirizine,Metformin,Omeprazole,1
Question Bank,Pharmacy,What is the half-life of a drug?,Time for drug to be fully excreted,Time for drug concentration to reduce by half,Time to reach peak effect,Time of drug absorption,1
Question Bank,Pharmacy,Which type of insulin has the fastest onset?,Glargine,NPH,Regular insulin,Rapid-acting (lispro/aspart),3
Question Bank,Pharmacy,What does 'PRN' mean in prescriptions?,Per Regular Norm,As needed,Per Registered Nurse,Post Recovery Note,1
Question Bank,Pharmacy,Which vitamin deficiency causes rickets?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,3
Question Bank,Pharmacy,Metformin is used to treat which condition?,Hypertension,Type 2 diabetes,Asthma,Depression,1
Question Bank,Pharmacy,What is the purpose of a drug expiry date?,Marketing requirement,Guarantee of safety and potency up to that date,Legal formality,Packaging regulation,1
Question Bank,Pharmacy,Which type of formulation releases drug slowly over time?,Immediate release,Sustained/Extended release,Effervescent,Dispersible,1
Question Bank,Pharmacy,What does 'sublingual' administration mean?,Swallowing whole,Under the tongue,Into the vein,On the skin,1
Question Bank,Pharmacy,Salbutamol (albuterol) is used to treat which condition?,Diabetes,Asthma,Hypertension,Infection,1
Question Bank,Pharmacy,Which class of drug lowers blood pressure by blocking beta receptors?,ACE inhibitors,Diuretics,Beta-blockers,Calcium channel blockers,2
Question Bank,Pharmacy,What is a placebo?,An active drug,An inactive substance used as a control,A drug overdose,A herbal medicine,1
Question Bank,Pharmacy,Which drug is the gold standard treatment for H. pylori infection?,Single antibiotic,Triple therapy (PPI + two antibiotics),Antacid only,Antifungal,1
Question Bank,Pharmacy,What is the primary action of diuretics?,Lower blood sugar,Increase urine output,Reduce inflammation,Kill bacteria,1
IQ Games,Pharmacy,A pharmacist has 500 tablets and dispenses 125 per day. How many days until stock runs out?,3,4,5,6,1
IQ Games,Pharmacy,"If a drug costs Rs.200 for 10 tablets, what is the cost per tablet?",Rs.10,Rs.15,Rs.20,Rs.25,2
IQ Games,Pharmacy,A patient takes 2 tablets twice daily. How many tablets are needed for 7 days?,14,21,28,35,2
IQ Games,Pharmacy,"Which does NOT belong: antibiotic, antifungal, antiviral, antipyretic?",Antibiotic,Antifungal,Antiviral,Antipyretic,3
IQ Games,Pharmacy,"If a syrup contains 250 mg/5 mL, how many mL contain 500 mg?",5 mL,10 mL,15 mL,20 mL,1
IQ Games,Pharmacy,A patient must take medication every 6 hours starting at 6 AM. Next dose after 12 PM is at?,4 PM,6 PM,8 PM,2 PM,1
IQ Games,Pharmacy,Pharmacist : Dispensing :: Doctor : ?,Prescribing,Dispensing,Nursing,Lab work,0
IQ Games,Pharmacy,"Which is the odd one out: capsule, tablet, injection, prescription?",Capsule,Tablet,Injection,Prescription,3
IQ Games,Pharmacy,A 100 mL solution contains 10 g of drug. Concentration in % w/v = ?,5%,10%,15%,20%,1
IQ Games,Pharmacy,"If a drug has a half-life of 6 hours, after 24 hours how many half-lives have passed?",2,3,4,5,2
IQ Games,Pharmacy,A patient takes 500 mg three times daily. Total daily dose = ?,1000 mg,1250 mg,1500 mg,2000 mg,2
IQ Games,Pharmacy,"Which is largest volume: 1L, 500 mL, 250 mL, 2000 mL?",1L,500 mL,250 mL,2000 mL,3
IQ Games,Pharmacy,Drug : Pharmacist :: Disease : ?,Hospital,Doctor,Patient,Nurse,1
IQ Games,Pharmacy,"If 30 tablets cost Rs.150, how much do 50 tablets cost?",Rs.200,Rs.250,Rs.300,Rs.350,1
IQ Games,Pharmacy,A cream tube contains 30 g. Patient uses 2 g daily. How many days will it last?,10,12,15,20,2
IQ Games,Pharmacy,"Which number is next: 100 mg, 200 mg, 400 mg, ?",600 mg,800 mg,1000 mg,500 mg,1
IQ Games,Pharmacy,"If 1 teaspoon = 5 mL, how many mL in 3 teaspoons?",10 mL,15 mL,20 mL,25 mL,1
IQ Games,Pharmacy,A pharmacist works 8-hour shifts. How many hours in a 6-day work week?,40,44,48,56,2
IQ Games,Pharmacy,"Which does NOT describe a tablet: coated, scored, capsule, chewable?",Coated,Scored,Capsule,Chewable,2
IQ Games,Pharmacy,"Patient A takes 1 tablet daily, Patient B takes 2. After 10 days, combined tablets taken?",25,30,35,40,1
IQ Games,Pharmacy,Dispensing 50 prescriptions in 5 hours = how many per hour?,5,8,10,12,2
IQ Games,Pharmacy,A solution has 5% glucose. How many grams in 200 mL?,5 g,8 g,10 g,15 g,2
IQ Games,Pharmacy,"Which comes next: tablet, capsule, syrup, tablet, capsule, ?",Tablet,Capsule,Syrup,Injection,2
IQ Games,Pharmacy,"If 1 mg = 1000 mcg, how many mcg in 0.5 mg?",250 mcg,500 mcg,750 mcg,1000 mcg,1
IQ Games,Pharmacy,"A prescription has 3 items, each dispensed 5 times monthly. Monthly dispensing total?",10,12,15,20,2
IQ Games,Pharmacy,"Which is NOT a solid dosage form: tablet, capsule, syrup, powder?",Tablet,Capsule,Syrup,Powder,2
IQ Games,Pharmacy,"If a patient misses a dose at 8 AM and remembers at 10 AM, they should?",Skip the missed dose,Take it at 10 AM if next dose is not close,Double the next dose,Take two doses at once,1
IQ Games,Pharmacy,A vial contains 10 mL of 50 mg/mL solution. Total drug in vial = ?,200 mg,300 mg,400 mg,500 mg,3
IQ Games,Pharmacy,Which weighs more: 1 kg of tablets or 1 kg of capsules?,Tablets,Capsules,Both equal,Cannot compare,2
IQ Games,Pharmacy,"A patient needs 14 days of antibiotics, 1 tablet twice daily. Total tablets to dispense?",14,21,28,35,2
IQ Games,Pharmacy,Drug storage at 2-8°C means store in?,Freezer,Refrigerator,Room temperature,Dark cupboard,1
IQ Games,Pharmacy,Complete the analogy: Antibiotic : Infection :: Antihypertensive : ?,Diabetes,High blood pressure,Asthma,Allergy,1
IQ Games,Pharmacy,A pharmacist checks 20 prescriptions per hour. How many in a 7.5-hour shift?,120,140,150,160,2
Career Questions,Pharmacy,What is the primary role of a pharmacist?,Diagnosing diseases,Dispensing medications and counseling patients,Performing surgery,Ordering lab tests,1
Career Questions,Pharmacy,What does patient counseling in pharmacy include?,Only handing over medicine,"Explaining drug use, side effects, and storage to patients",Diagnosing conditions,Writing prescriptions,1
Career Questions,Pharmacy,Which document authorizes a pharmacist to dispense a prescription drug?,Patient's ID,Valid prescription from a licensed prescriber,Hospital invoice,Drug advertisement,1
Career Questions,Pharmacy,What is pharmaceutical care?,Selling medicines,A patient-centered practice ensuring optimal drug therapy outcomes,Drug manufacturing,Clinical research only,1
Career Questions,Pharmacy,Which professional quality is most important for a pharmacist?,Speed,Accuracy and attention to detail,Salesmanship,Physical strength,1
Career Questions,Pharmacy,What does 'drug interaction' mean?,A drug side effect,When two or more drugs affect each other's activity,Drug allergic reaction,A drug overdose,1
Career Questions,Pharmacy,What is the purpose of a patient medication record?,Administrative filing,Track patient's medications to prevent errors and interactions,Insurance billing only,Marketing data,1
Career Questions,Pharmacy,Pharmacists must keep patient information as?,Public knowledge,Strictly confidential,Shareable with all staff,Posted in pharmacy,1
Career Questions,Pharmacy,Which ethical principle guides pharmacists to act in the patient's best interest?,Non-maleficence,Autonomy,Beneficence,Justice,2
Career Questions,Pharmacy,What is 'generic substitution' in pharmacy practice?,Replacing brand drug with cheaper generic equivalent when appropriate,Giving any substitute drug,Changing the dose,Dispensing without prescription,0
Career Questions,Pharmacy,Continuing professional development (CPD) for pharmacists is important because?,It is just a formality,Pharmacy knowledge and guidelines regularly update,It guarantees salary increase,It is only for new graduates,1
Career Questions,Pharmacy,A pharmacist who notices a prescription error should?,Dispense it anyway,Contact the prescriber to clarify before dispensing,Dispense and inform the patient later,Refuse without explanation,1
Career Questions,Pharmacy,What is the role of a hospital pharmacist?,Only counting tablets,Providing clinical pharmacy services and working with medical teams,Only compounding,Managing hospital finances,1
Career Questions,Pharmacy,Which is an example of evidence-based pharmacy practice?,Using old textbooks,Applying current research to clinical drug decisions,Following tradition,Guessing drug doses,1
Career Questions,Pharmacy,What does 'adverse drug reaction' (ADR) mean?,Intended drug effect,Harmful unintended response to a drug at normal doses,Drug interaction,Drug overdose,1
Career Questions,Pharmacy,Which regulatory body oversees drug approvals in Pakistan?,MOH,DRAP (Drug Regulatory Authority of Pakistan),WHO,PMA,1
Career Questions,Pharmacy,What is a 'controlled substance'?,Any prescription drug,Drug with high abuse potential regulated under special laws,An expired drug,A herbal medicine,1
Career Questions,Pharmacy,The pharmacy profession requires which minimum qualification in Pakistan?,Diploma,Pharm.D degree,MBBS,MSc,1
Career Questions,Pharmacy,What is the purpose of drug labeling?,Decoration,Provide essential information for safe and correct use,Legal requirement only,Marketing,1
Career Questions,Pharmacy,Which skill helps pharmacists detect prescription forgery?,Fast dispensing,Knowledge of prescription requirements and observation,Memorizing drugs,Customer service,1
Career Questions,Pharmacy,A community pharmacist's first responsibility when a patient presents symptoms is?,Sell OTC medicine immediately,Assess if referral to doctor is needed or OTC advice is appropriate,Diagnose the patient,Take their blood pressure,1
Career Questions,Pharmacy,What does 'pharmacovigilance' mean?,Drug manufacturing,Monitoring drug safety after market release,Drug pricing,Prescription management,1
Career Questions,Pharmacy,Which is the correct storage condition for most vaccines?,Room temperature,2-8°C refrigerated (cold chain),Frozen (-20°C),Sunlight exposure,1
Career Questions,Pharmacy,What is drug abuse?,Taking prescribed medication,Using drugs for non-medical purposes or beyond prescribed amounts,Allergy to a drug,Drug interaction,1
Career Questions,Pharmacy,A pharmacist's scope of practice includes?,Diagnosing diseases,"Dispensing, counseling, medication review, and clinical services",Performing surgeries,Ordering scans,1
Career Questions,Pharmacy,What is the purpose of a formulary in a hospital?,Patient records,Approved list of drugs used within the institution,Nursing schedule,Admin directory,1
Career Questions,Pharmacy,Which is the pharmacist's role in chronic disease management?,One-time advice,"Ongoing medication review, adherence support, and monitoring",Lab testing,Dietary planning only,1
Career Questions,Pharmacy,What is 'medication adherence'?,Taking double doses,Taking medication as prescribed by the healthcare provider,Self-medicating,Taking medicine occasionally,1
Career Questions,Pharmacy,Which professional skill is unique to clinical pharmacists?,Compounding,Medication therapy management and clinical recommendations,Accounting,Lab analysis,1
Career Questions,Pharmacy,What is the primary purpose of a drug monograph?,Advertising,Comprehensive reference information about a drug,Insurance documentation,Patient personal record,1
Career Questions,Pharmacy,Pharmacy ethics requires informed consent for?,Routine dispensing,Participation in research or providing sensitive health services,All OTC sales,Vaccination only,1
Career Questions,Pharmacy,Which is NOT a community pharmacy service?,Dispensing prescriptions,Patient counseling,Performing surgical procedures,Health screening,2
Career Questions,Pharmacy,What is 'polypharmacy' and its risk?,Using one drug for many conditions,Use of multiple medications increasing risk of interactions and errors,A type of drug class,Compounding multiple drugs,1
Question Bank,Pharmacy,Which pharmacokinetic parameter describes the volume of plasma cleared of drug per unit time?,Volume of distribution,Clearance,Half-life,Bioavailability,1
Question Bank,Pharmacy,What is the mechanism of action of proton pump inhibitors (PPIs)?,Block H2 receptors,Irreversibly inhibit H+/K+ ATPase pump in gastric parietal cells,Neutralize stomach acid,Block acetylcholine receptors,1
Question Bank,Pharmacy,Which drug class is contraindicated in pregnancy due to teratogenicity?,Penicillins,Tetracyclines,Antacids,Antihistamines (first gen),1
Question Bank,Pharmacy,What is the first-pass effect?,Drug absorption in the intestine,Extensive drug metabolism in the liver before reaching systemic circulation,Drug distribution to tissues,Renal drug excretion,1
Question Bank,Pharmacy,Warfarin's anticoagulant effect is monitored by which lab test?,aPTT,INR/PT,CBC,Serum creatinine,1
Question Bank,Pharmacy,Which antibiotics inhibit cell wall synthesis?,Aminoglycosides,Fluoroquinolones,Penicillins and cephalosporins,Macrolides,2
Question Bank,Pharmacy,What is the mechanism of ACE inhibitors in hypertension?,Block beta receptors,Block calcium channels,Inhibit conversion of angiotensin I to angiotensin II,Increase urine output,2
Question Bank,Pharmacy,Which drug interaction occurs when two CNS depressants are combined?,Antagonism,Additive or synergistic CNS depression,Enzyme induction,Receptor upregulation,1
