category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Nursing,What are the 5 rights of medication administration?,Right patient and drug and dose and route and time,Right color and shape and size and smell and taste,Right brand and cost and supplier and date and time,Right doctor and nurse and hospital and room and bed,0
Question Bank,Nursing,What is triage?,A type of bandage,Sorting patients by urgency of care,A surgical procedure,A medication type,1
Question Bank,Nursing,What does vital signs include?,Only blood pressure,Temperature and pulse and respiration and blood pressure,Only temperature,Only pulse,1
Question Bank,Nursing,What is the Trendelenburg position?,Sitting upright,Head lower than feet,Lying flat,Standing position,1
Question Bank,Nursing,What is a nosocomial infection?,A pre-existing infection,A hospital-acquired infection,A genetic condition,A childhood disease,1
Question Bank,Nursing,What is the Glasgow Coma Scale used for?,Measuring pain,Assessing level of consciousness,Checking blood sugar,Testing reflexes,1
Question Bank,Nursing,What does PRN mean in nursing?,Permanent Regular Nursing,Pro Re Nata (as needed),Primary Registered Nurse,Post Recovery Note,1
Question Bank,Nursing,Which type of isolation is used for tuberculosis?,Contact,Airborne,Droplet,Standard only,1
Question Bank,Nursing,What is the purpose of a Foley catheter?,Blood collection,Urinary drainage,Intravenous access,Wound drainage,1
Question Bank,Nursing,What is the nurse-to-patient ratio's importance?,No importance,Affects quality of care and patient safety,Only affects salary,Only affects scheduling,1
IQ Games,Nursing,A patient receives IV fluid at 125mL/hr. How much in 8 hours?,500mL,750mL,1000mL,1250mL,2
IQ Games,Nursing,If medication is given every 6 hours how many doses per day?,2,3,4,6,2
IQ Games,Nursing,Normal adult respiratory rate is approximately?,8-12 breaths/min,12-20 breaths/min,25-35 breaths/min,40-50 breaths/min,1
IQ Games,Nursing,A patient needs 1500mg of a drug. Tablets are 500mg each. How many tablets?,2,3,4,5,1
IQ Games,Nursing,What is 98.6°F in Celsius?,35°C,36°C,37°C,38°C,2
IQ Games,Nursing,If a shift is 12 hours and starts at 7AM when does it end?,5PM,7PM,9PM,7AM,1
IQ Games,Nursing,A wound dressing is changed every 48 hours. How many changes in 2 weeks?,5,7,10,14,1
IQ Games,Nursing,Blood pressure 120/80 — what does 120 represent?,Diastolic pressure,Systolic pressure,Heart rate,Oxygen level,1
IQ Games,Nursing,How many mL in one liter?,10,100,1000,10000,2
IQ Games,Nursing,If a drip rate is 20 drops/min and each mL = 20 drops what is the flow rate in mL/min?,0.5,1,2,10,1
Career Questions,Nursing,What is the most important quality of a nurse?,Physical strength,Compassion and clinical competence,Height,Speed,1
Career Questions,Nursing,Which credential do registered nurses need?,Driver's license,Nursing license (RN),Cooking certificate,Engineering degree,1
Career Questions,Nursing,What is a nursing care plan?,A lunch menu,A systematic approach to patient care,A holiday schedule,A budget plan,1
Career Questions,Nursing,Which specialization is in high demand for nurses?,Fashion nursing,Critical care and emergency nursing,Garden nursing,Music nursing,1
Career Questions,Nursing,What should nursing students practice during clinicals?,Cooking,Patient assessment and communication,Drawing,Singing,1
Career Questions,Nursing,What is NCLEX?,A video game,Nursing licensure examination,A cooking competition,A music festival,1
Career Questions,Nursing,What does patient advocacy mean?,Ignoring patients,Acting in the best interest of patients,Only following orders,Avoiding patients,1
Career Questions,Nursing,Which technology is transforming nursing?,Typewriters,Electronic health records and telehealth,Fax machines,Telegraphs,1
Career Questions,Nursing,What is interdisciplinary collaboration in healthcare?,Working alone,Different healthcare professionals working together,Competition between departments,Avoiding other staff,1
Career Questions,Nursing,What should nurses do for professional development?,Nothing,Attend conferences and pursue certifications,Only watch TV,Avoid learning,1
Question Bank,Nursing,What is the normal adult respiratory rate?,12-20 breaths per minute,5-10 breaths per minute,25-35 breaths per minute,30-40 breaths per minute,0
Question Bank,Nursing,What does IM stand for in medication administration?,Intramuscular,Internal Medicine,Immediate Measurement,Inhaled Medication,0
Question Bank,Nursing,What is the five rights of medication administration?,Right patient drug dose route and time,Right drug route frequency cost and patient,Right patient drug time brand and nurse,Right patient frequency dose site and label,0
Question Bank,Nursing,What is a nursing diagnosis?,Clinical judgement about individual response to health conditions,Medical diagnosis of a disease,Lab test result,Doctor's prescription,0
Question Bank,Nursing,What does SBAR stand for?,Situation Background Assessment Recommendation,Safety Briefing Awareness Report,Standard Bedside Assessment Record,Status Background Alert Response,0
Question Bank,Nursing,What is aseptic technique?,Procedures to prevent contamination by pathogens,Using soap and water only,Wearing gloves only,Sterilising equipment with chemicals,0
Question Bank,Nursing,What is the purpose of patient positioning in nursing?,Prevent pressure ulcers and promote comfort and circulation,Increase patient pain,Limit patient mobility,Speed up medication effects,0
Question Bank,Nursing,What is tachycardia?,Heart rate above 100 beats per minute,Heart rate below 60 beats per minute,Normal heart rhythm,Irregular heartbeat only,0
Question Bank,Nursing,What does NPO mean?,Nothing by mouth (nil per os),No pain observed,Normal pulse output,No previous operations,0
Question Bank,Nursing,What is the purpose of vital signs monitoring?,Assess physiological status and detect deterioration,Record patient history,Administer medications,Perform wound care,0
Question Bank,Nursing,What is a pressure ulcer?,Skin injury from prolonged pressure on bony prominences,An infected surgical wound,A rash from medication,A burn injury,0
Question Bank,Nursing,What does ICU stand for?,Intensive Care Unit,Immediate Care Unit,Integrated Clinical Unit,Internal Care Utility,0
Question Bank,Nursing,What is the purpose of informed consent in nursing?,Ensure patient understands and agrees to care,Protect the hospital from lawsuits only,Speed up the treatment process,Replace doctor's orders,0
Question Bank,Nursing,What is a nasogastric tube (NG tube) used for?,Deliver nutrition or medication directly to the stomach,Deliver oxygen,Monitor blood pressure,Administer IV fluids,0
Question Bank,Nursing,What is the Glasgow Coma Scale used for?,Assess level of consciousness,Measure blood pressure,Evaluate kidney function,Assess pain level,0
Question Bank,Nursing,What does PRN mean in a medication order?,As needed (pro re nata),Prior to the Next dose,Periodic Regular Nursing,Patient Requires Notification,0
