category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Computer Sciences,What does CPU stand for?,Central Processing Unit,Computer Personal Unit,Central Program Utility,Computer Power Unit,0
Question Bank,Computer Sciences,What is an algorithm?,A type of virus,A step-by-step procedure for solving a problem,A hardware component,A network protocol,1
Question Bank,Computer Sciences,What does HTML stand for?,HyperText Markup Language,High Tech Modern Language,Hyper Transfer Markup Logic,Home Tool Markup Language,0
Question Bank,Computer Sciences,What is the time complexity of binary search?,O(n),O(nÂ²),O(log n),O(1),2
Question Bank,Computer Sciences,What is a database?,A type of virus,An organized collection of structured data,A physical cabinet,A programming language,1
Question Bank,Computer Sciences,Which data structure uses FIFO?,Stack,Queue,Tree,Graph,1
Question Bank,Computer Sciences,What is an API?,Application Programming Interface,Automatic Program Installation,Applied Protocol Integration,Advanced Processing Input,0
Question Bank,Computer Sciences,What does SQL stand for?,Structured Query Language,Simple Question Logic,Sequential Queue Language,Systematic Query List,0
Question Bank,Computer Sciences,What is recursion?,A loop that never ends,A function that calls itself,A type of variable,A sorting method,1
Question Bank,Computer Sciences,What is the difference between == and === in JavaScript?,No difference,=== checks type and value while == checks only value,== is stricter,=== is for strings only,1
IQ Games,Computer Sciences,How many values can a single bit represent?,1,2,4,8,1
IQ Games,Computer Sciences,What is 255 in binary?,11111111,10101010,11110000,10011001,0
IQ Games,Computer Sciences,If an array has index 0 to 9 how many elements does it contain?,9,10,11,8,1
IQ Games,Computer Sciences,How many bytes in a kilobyte (traditional)?,100,512,1000,1024,3
IQ Games,Computer Sciences,What comes next: 1 1 2 3 5 8 13 ?,18,20,21,26,2
IQ Games,Computer Sciences,If a function runs in O(nÂ²) and n doubles by what factor does time increase?,2,4,8,16,1
IQ Games,Computer Sciences,How many possible values can an 8-bit unsigned integer hold?,128,255,256,512,2
IQ Games,Computer Sciences,What is the hexadecimal equivalent of decimal 255?,EE,FF,FE,F0,1
IQ Games,Computer Sciences,A balanced binary tree has 7 nodes. What is its height?,2,3,4,7,1
IQ Games,Computer Sciences,If you sort 1000 items with O(n log n) algorithm approximately how many operations?,1000,3000,10000,1000000,2
Career Questions,Computer Sciences,Which programming language is most in-demand for web development?,COBOL,JavaScript,Fortran,Assembly,1
Career Questions,Computer Sciences,What is the role of a software developer?,Sell hardware,Design and build software applications,Fix printers,Manage phone calls,1
Career Questions,Computer Sciences,Which platform is widely used for coding challenges?,Instagram,LeetCode and HackerRank,Pinterest,TikTok,1
Career Questions,Computer Sciences,What is version control?,Tracking document changes,Managing code changes with tools like Git,Controlling software versions manually,Copying files to USB,1
Career Questions,Computer Sciences,What should CS students build during university?,Furniture,A portfolio of projects on GitHub,A cooking blog,A fashion brand,1
Career Questions,Computer Sciences,What is agile methodology?,A gymnastics technique,An iterative approach to software development,A cooking method,A type of exercise,1
Career Questions,Computer Sciences,Which cloud platform certification is valuable?,Cooking certificate,AWS or Azure certification,Driving license,Music degree,1
Career Questions,Computer Sciences,What is the most important CS interview skill?,Memorizing textbooks,Problem-solving and coding ability,Typing speed,Handwriting,1
Career Questions,Computer Sciences,What does DevOps combine?,Cooking and cleaning,Development and operations,Design and photography,Dancing and singing,1
Career Questions,Computer Sciences,What is open source software?,Paid software,Software with publicly available source code,Hardware,A type of virus,1
Question Bank,Computer Sciences,What is the difference between RAM and ROM?,RAM is volatile temporary storage; ROM is non-volatile permanent storage,RAM is permanent; ROM is temporary,Both are volatile,Both are non-volatile,0
Question Bank,Computer Sciences,What does SQL stand for?,Structured Query Language,Sequential Query Logic,Standard Query List,System Query Layer,0
Question Bank,Computer Sciences,What is a compiler?,Program that translates source code into machine code,Program that runs code directly,Program that debugs code,Program that stores code,0
Question Bank,Computer Sciences,What is the OSI model?,7-layer conceptual framework for network communication,Operating System Interface,Open Source Initiative,Organisation Software Integration,0
Question Bank,Computer Sciences,What is a deadlock in operating systems?,State where processes are waiting indefinitely for resources held by each other,A system crash,A type of virus,An overloaded CPU,0
Question Bank,Computer Sciences,What does HTTP stand for?,HyperText Transfer Protocol,High Traffic Transfer Protocol,HyperText Transmission Protocol,Home Transfer Technology Protocol,0
Question Bank,Computer Sciences,What is recursion in programming?,A function that calls itself to solve a problem,A loop structure,A data structure,An error handling method,0
Question Bank,Computer Sciences,What is the purpose of a firewall?,Control incoming and outgoing network traffic based on security rules,Speed up internet,Store network data,Provide Wi-Fi,0
Question Bank,Computer Sciences,What is object-oriented programming (OOP)?,Programming paradigm based on objects containing data and methods,Programming using functions only,Programming using machine code,Programming without variables,0
Question Bank,Computer Sciences,What does GPU stand for?,Graphics Processing Unit,General Processing Unit,Graphical Program Utility,Global Processing Unit,0
Question Bank,Computer Sciences,What is a hash function?,Function mapping data to a fixed-size value for indexing or security,Function that sorts data,Function that compresses files,Function that encrypts data only,0
Question Bank,Computer Sciences,What is the difference between TCP and UDP?,TCP is reliable and ordered; UDP is faster but unreliable,They are the same protocol,UDP is more reliable,TCP is faster,0
Question Bank,Computer Sciences,What is version control?,System tracking changes to code over time,A type of compiler,A debugging tool,An operating system feature,0
Question Bank,Computer Sciences,What is machine learning?,A subset of AI where systems learn from data without explicit programming,Programming a computer manually,Running statistical calculations,Simulating human typing,0
Question Bank,Computer Sciences,What is the purpose of a DNS server?,Translate domain names to IP addresses,Store website files,Provide internet access,Control network bandwidth,0
Question Bank,Computer Sciences,What is Big O notation?,Mathematical notation describing algorithm time/space complexity,A programming language syntax,A type of data structure,A database query language,0
Question Bank,Computer Sciences,What is a linked list?,Data structure where elements point to the next element,A sorted array,A hash table,A binary tree,0
Question Bank,Computer Sciences,What is cloud computing?,Delivering computing services over the internet on demand,Local computer processing,Physical server storage,Offline data management,0
Question Bank,Computer Sciences,What does API stand for?,Application Programming Interface,Advanced Programming Integration,Automated Process Interface,Application Protocol Identifier,0
Question Bank,Computer Sciences,What is a binary search tree?,Tree where left child is smaller and right child is larger than parent,A tree with two branches,A sorted linked list,A graph with no cycles,0
Question Bank,Computer Sciences,What is encryption?,Process of converting data to unreadable format to protect it,Process of compressing files,Process of copying data,Process of deleting data,0
Question Bank,Computer Sciences,What is a stack data structure?,LIFO structure – last in first out,FIFO structure – first in first out,Random access structure,Sorted list structure,0
Question Bank,Computer Sciences,What is virtualisation?,Creating virtual versions of hardware or software resources,Deleting physical hardware,Connecting two networks,Backing up data,0
Question Bank,Computer Sciences,What is the purpose of a cache memory?,Store frequently accessed data for faster retrieval,Permanently store data,Run programs,Connect to network,0
Question Bank,Computer Sciences,What is a relational database?,Database organised into tables with defined relationships between them,A database with no structure,A flat file storage system,A cloud-only database,0
Question Bank,Computer Sciences,What does BIOS stand for?,Basic Input/Output System,Binary Instruction Output System,Base Interface Operating System,Boot Instruction Order System,0
Question Bank,Computer Sciences,What is a race condition?,Flaw where system behaviour depends on uncontrolled order of events,A performance benchmark,A type of virus,A scheduling algorithm,0
Question Bank,Computer Sciences,What is an IP address?,Unique numerical label assigned to each device on a network,Email address of a device,Name of a network,Speed of internet connection,0
Question Bank,Computer Sciences,What is the purpose of a load balancer?,Distribute network traffic across multiple servers,Block malicious traffic,Store data permanently,Monitor server temperature,0
Question Bank,Computer Sciences,What is containerisation in software?,Packaging code and dependencies together for consistent deployment,A database technique,A type of encryption,A UI design pattern,0
Question Bank,Computer Sciences,What is the difference between a process and a thread?,A process is an independent program; a thread is a unit within a process,They are the same,A thread is larger than a process,Processes share memory by default,0
Question Bank,Computer Sciences,What is a graph data structure?,Collection of nodes connected by edges,A sorted list,A hierarchical tree,A sequential array,0
