Category,Department,Question,Option 0,Option 1,Option 2,Option 3,Answer
Question Bank,Bioscience,Q1: Cell Biology: What happens if Na+/K+ ATPase is inhibited in animal cells?,No effect on osmotic balance,Cell swelling due to osmotic imbalance,Immediate DNA damage,Cell shrinkage due to ion loss,1
IQ Games,Bioscience,Q2: Genetics: A mutation in the promoter region of a gene most likely affects:,Protein folding,mRNA splicing,Transcription initiation,Translation termination,2
Career Questions,Bioscience,"Q3: Biochemistry: If Km increases while Vmax remains constant, it indicates:",Lower enzyme affinity,Substrate depletion,Higher enzyme affinity,Enzyme denaturation,0
Question Bank,Bioscience,Q4: Molecular Biology: Which enzyme synthesizes RNA from DNA template?,Ligase,Helicase,RNA polymerase,DNA polymerase,2
IQ Games,Bioscience,Q5: Immunology: Memory B cells are important because they:,Enable faster secondary response,Produce antibodies immediately,Suppress immune response,Destroy pathogens directly,0
Career Questions,Bioscience,Q6: Microbiology: Gram-negative bacteria are resistant to penicillin mainly due to:,Thick peptidoglycan,High mutation rate,Lack of ribosomes,Outer membrane barrier,3
Question Bank,Bioscience,Q7: Physiology: Oxygen dissociation curve shifts right when:,pH increases,Hemoglobin increases,Temperature decreases,CO2 increases,3
IQ Games,Bioscience,Q8: Ecology: Carrying capacity refers to:,Growth rate of population,Death rate only,Migration rate,Max population environment supports,3
Career Questions,Bioscience,Q9: Evolution: Natural selection acts on:,Phenotype,Chromosomes only,DNA sequence directly,Genotype only,0
Question Bank,Bioscience,Q10: Biotechnology: PCR amplification requires:,Ligase enzyme,Restriction enzymes,"DNA template, primers, Taq polymerase",RNA polymerase,2
IQ Games,Bioscience,Q11: Cell Biology: What happens if Na+/K+ ATPase is inhibited in animal cells?,Immediate DNA damage,Cell shrinkage due to ion loss,No effect on osmotic balance,Cell swelling due to osmotic imbalance,3
Career Questions,Bioscience,Q12: Genetics: A mutation in the promoter region of a gene most likely affects:,mRNA splicing,Translation termination,Transcription initiation,Protein folding,2
Question Bank,Bioscience,"Q13: Biochemistry: If Km increases while Vmax remains constant, it indicates:",Higher enzyme affinity,Substrate depletion,Lower enzyme affinity,Enzyme denaturation,2
IQ Games,Bioscience,Q14: Molecular Biology: Which enzyme synthesizes RNA from DNA template?,RNA polymerase,Ligase,Helicase,DNA polymerase,0
Career Questions,Bioscience,Q15: Immunology: Memory B cells are important because they:,Destroy pathogens directly,Produce antibodies immediately,Suppress immune response,Enable faster secondary response,3
Question Bank,Bioscience,Q16: Microbiology: Gram-negative bacteria are resistant to penicillin mainly due to:,High mutation rate,Lack of ribosomes,Outer membrane barrier,Thick peptidoglycan,2
IQ Games,Bioscience,Q17: Physiology: Oxygen dissociation curve shifts right when:,CO2 increases,Temperature decreases,Hemoglobin increases,pH increases,0
Career Questions,Bioscience,Q18: Ecology: Carrying capacity refers to:,Max population environment supports,Growth rate of population,Migration rate,Death rate only,0
Question Bank,Bioscience,Q19: Evolution: Natural selection acts on:,DNA sequence directly,Genotype only,Chromosomes only,Phenotype,3
IQ Games,Bioscience,Q20: Biotechnology: PCR amplification requires:,Restriction enzymes,"DNA template, primers, Taq polymerase",RNA polymerase,Ligase enzyme,1
Career Questions,Bioscience,Q21: Cell Biology: What happens if Na+/K+ ATPase is inhibited in animal cells?,No effect on osmotic balance,Immediate DNA damage,Cell shrinkage due to ion loss,Cell swelling due to osmotic imbalance,3
Question Bank,Bioscience,Q22: Genetics: A mutation in the promoter region of a gene most likely affects:,mRNA splicing,Transcription initiation,Protein folding,Translation termination,1
IQ Games,Bioscience,"Q23: Biochemistry: If Km increases while Vmax remains constant, it indicates:",Enzyme denaturation,Lower enzyme affinity,Higher enzyme affinity,Substrate depletion,1
Career Questions,Bioscience,Q24: Molecular Biology: Which enzyme synthesizes RNA from DNA template?,DNA polymerase,RNA polymerase,Helicase,Ligase,1
Question Bank,Bioscience,Q25: Immunology: Memory B cells are important because they:,Destroy pathogens directly,Produce antibodies immediately,Suppress immune response,Enable faster secondary response,3
IQ Games,Bioscience,Q26: Microbiology: Gram-negative bacteria are resistant to penicillin mainly due to:,Lack of ribosomes,Thick peptidoglycan,High mutation rate,Outer membrane barrier,3
Career Questions,Bioscience,Q27: Physiology: Oxygen dissociation curve shifts right when:,pH increases,Temperature decreases,CO2 increases,Hemoglobin increases,2
Question Bank,Bioscience,Q28: Ecology: Carrying capacity refers to:,Migration rate,Death rate only,Max population environment supports,Growth rate of population,2
IQ Games,Bioscience,Q29: Evolution: Natural selection acts on:,Phenotype,Genotype only,DNA sequence directly,Chromosomes only,0
Career Questions,Bioscience,Q30: Biotechnology: PCR amplification requires:,Restriction enzymes,Ligase enzyme,RNA polymerase,"DNA template, primers, Taq polymerase",3
