category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,BSH,What is the best description of 'Newton's First Law'?,"For every action, there is an equal and opposite reaction",Energy cannot be created or destroyed,Force equals mass times acceleration,An object at rest stays at rest unless acted upon by a force,3
Question Bank,BSH,What is the best description of 'Velocity'?,The rate of change of speed,The mass of an object in motion,The total distance covered over time,The rate of change of displacement with respect to time,3
Question Bank,BSH,What is the best description of 'Thermodynamics (First Law)'?,Heat flows from cold to hot,Entropy of an isolated system always increases,"Energy can neither be created nor destroyed, only transformed",Absolute zero cannot be reached,2
Question Bank,BSH,What is the best description of 'Covalent Bond'?,A bond between two metals,A bond formed by the transfer of electrons,An attraction between molecules,A chemical bond that involves the sharing of electron pairs between atoms,3
Question Bank,BSH,What is the best description of 'pH Scale'?,A measure of temperature,A scale for measuring radioactive decay,A scale for measuring atmospheric pressure,A measure of the acidity or basicity of an aqueous solution,3
Question Bank,BSH,What is the best description of 'Atomic Number'?,The atomic weight of an element,The number of protons in the nucleus of an atom,The number of electrons in the outer shell,The total number of protons and neutrons,1
Question Bank,BSH,What is the best description of 'Derivative'?,A statistical average,A matrix determinant,The rate at which a function is changing at any given point,The area under a curve,2
Question Bank,BSH,What is the best description of 'Integral'?,The mathematical concept that represents the area under a curve,The slope of a tangent line,The rate of change of a function,The highest point of a parabola,0
Question Bank,BSH,What is the best description of 'Probability'?,The mean of a data set,A statistical outlier,The exact certainty of an event,The measure of the likelihood that an event will occur,3
Question Bank,BSH,What is the best description of 'Active Voice'?,A type of academic citation,A poetic device,A sentence structure where the subject performs the action stated by the verb,A sentence where the subject receives the action,2
Question Bank,BSH,What is the best description of 'Plagiarism'?,Paraphrasing with proper attribution,Citing sources correctly,The practice of taking someone else's work or ideas and passing them off as one's own,Working collaboratively on a project,2
Question Bank,BSH,What is the best description of 'Thesis Statement'?,A list of references,A short statement that summarizes the main point or claim of an essay or research paper,The concluding paragraph of an essay,The abstract of a paper,1
Question Bank,BSH,What is the best description of 'Utilitarianism'?,An ethical theory based strictly on duty and rules,The belief that there are no absolute moral rules,An ethical theory that promotes actions that maximize happiness and well-being for the majority,The practice of prioritizing individual needs over the group,2
Question Bank,BSH,What is the best description of 'Sociology'?,The study of economic markets,The study of the human mind and behavior,"The study of the development, structure, and functioning of human society",The study of past historical events,2
Question Bank,BSH,What is the best description of 'Epistemology'?,The branch of philosophy concerned with the theory of knowledge,The study of moral values,The study of the physical universe,The study of beauty and art,0
Question Bank,BSH,Which of the following defines 'Newton's First Law'?,"For every action, there is an equal and opposite reaction",An object at rest stays at rest unless acted upon by a force,Energy cannot be created or destroyed,Force equals mass times acceleration,1
Question Bank,BSH,Which of the following defines 'Velocity'?,The total distance covered over time,The rate of change of speed,The rate of change of displacement with respect to time,The mass of an object in motion,2
Question Bank,BSH,Which of the following defines 'Thermodynamics (First Law)'?,"Energy can neither be created nor destroyed, only transformed",Heat flows from cold to hot,Entropy of an isolated system always increases,Absolute zero cannot be reached,0
Question Bank,BSH,Which of the following defines 'Covalent Bond'?,An attraction between molecules,A chemical bond that involves the sharing of electron pairs between atoms,A bond between two metals,A bond formed by the transfer of electrons,1
Question Bank,BSH,Which of the following defines 'pH Scale'?,A scale for measuring atmospheric pressure,A measure of the acidity or basicity of an aqueous solution,A scale for measuring radioactive decay,A measure of temperature,1
Question Bank,BSH,Which of the following defines 'Atomic Number'?,The number of electrons in the outer shell,The total number of protons and neutrons,The number of protons in the nucleus of an atom,The atomic weight of an element,2
Question Bank,BSH,Which of the following defines 'Derivative'?,The area under a curve,A matrix determinant,The rate at which a function is changing at any given point,A statistical average,2
Question Bank,BSH,Which of the following defines 'Integral'?,The rate of change of a function,The mathematical concept that represents the area under a curve,The slope of a tangent line,The highest point of a parabola,1
