category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Pharmacy,What is pharmacokinetics?,Study of drug pricing,Study of drug movement through the body,Study of plant biology,Study of chemical reactions,1
Question Bank,Pharmacy,Which route of administration has the fastest onset?,Oral,Intravenous,Topical,Rectal,1
Question Bank,Pharmacy,What does OTC mean in pharmacy?,Over The Counter,Only Through Clinic,Official Treatment Code,Open Therapeutic Category,0
Question Bank,Pharmacy,What is the generic name for Tylenol?,Ibuprofen,Acetaminophen,Aspirin,Naproxen,1
Question Bank,Pharmacy,What is a contraindication?,A reason to use a drug,A condition where a drug should NOT be used,A type of dosage form,A drug interaction,1
Question Bank,Pharmacy,Which organ is primarily responsible for drug metabolism?,Heart,Liver,Lungs,Kidneys,1
Question Bank,Pharmacy,What is bioavailability?,Drug color intensity,Fraction of drug reaching systemic circulation,Drug shelf life,Drug packaging quality,1
Question Bank,Pharmacy,What does GMP stand for?,General Medical Practice,Good Manufacturing Practice,Global Medicine Protocol,Generic Medicine Program,1
Question Bank,Pharmacy,Which dosage form releases drug over an extended period?,Tablet,Capsule,Sustained-release formulation,Syrup,2
Question Bank,Pharmacy,What is polypharmacy?,Taking one drug,Taking multiple medications simultaneously,Making drugs,Studying pharmacology,1
IQ Games,Pharmacy,If a patient takes 2 tablets 3 times daily for 7 days how many tablets total?,14,21,42,28,2
IQ Games,Pharmacy,A drug has a half-life of 4 hours. After 12 hours what fraction remains?,1/2,1/4,1/8,1/16,2
IQ Games,Pharmacy,If 500mg is dissolved in 250mL what is the concentration in mg/mL?,0.5,1,2,4,2
IQ Games,Pharmacy,How many milligrams in 2.5 grams?,25,250,2500,25000,2
IQ Games,Pharmacy,A prescription says take 5mL TID. How much per day?,5mL,10mL,15mL,20mL,2
IQ Games,Pharmacy,What comes next: 10 20 40 80 ?,100,120,160,200,2
IQ Games,Pharmacy,If a drug costs $0.50 per tablet and you need 60 tablets what is the total cost?,15,25,30,35,2
IQ Games,Pharmacy,Convert 0.5L to milliliters.,50,100,500,5000,2
IQ Games,Pharmacy,A vial contains 10mL. How many 0.5mL doses can be drawn?,10,15,20,25,2
IQ Games,Pharmacy,If 1 grain = 65mg how many mg in 5 grains?,130,195,260,325,3
Career Questions,Pharmacy,What is the primary role of a clinical pharmacist?,Sell medicines,Optimize patient drug therapy,Perform surgery,Diagnose diseases,1
Career Questions,Pharmacy,Which license is needed to practice pharmacy?,Driver's license,Pharmacy practice license,Teaching certificate,Pilot's license,1
Career Questions,Pharmacy,What is pharmaceutical care?,Drug manufacturing,Patient-centered practice to optimize outcomes,Hospital cleaning,Laboratory research only,1
Career Questions,Pharmacy,Which area offers growth for pharmacists?,Fashion design,Clinical trials and personalized medicine,Cooking,Sports coaching,1
Career Questions,Pharmacy,What should a pharmacy graduate highlight on their resume?,Gaming skills,Clinical rotations and patient counseling experience,Social media followers,Cooking recipes,1
Career Questions,Pharmacy,What does a regulatory affairs specialist do?,Design buildings,Ensure drug compliance with regulations,Write novels,Teach music,1
Career Questions,Pharmacy,What is pharmacovigilance?,Drug marketing,Monitoring drug safety after market release,Drug pricing,Drug packaging,1
Career Questions,Pharmacy,Which soft skill is critical for pharmacists?,Juggling,Patient communication and counseling,Dancing,Singing,1
Career Questions,Pharmacy,What is a formulary?,A math formula book,A list of approved medications,A cooking recipe,A building plan,1
Career Questions,Pharmacy,Where can pharmacists work besides retail?,Only retail,Hospitals and pharmaceutical companies and research,Only clinics,Only schools,1
Question Bank,Pharmacy,What is the blood-brain barrier?,A selective barrier limiting substances from entering the brain,A physical wall in the skull,A drug absorption mechanism in the gut,A liver detoxification system,0
Question Bank,Pharmacy,What does IV stand for in drug administration?,Intravenous,Inhalation Vapor,Internal Volume,Indirect Viscosity,0
Question Bank,Pharmacy,What is bioavailability?,Fraction of drug that reaches systemic circulation unchanged,Total dose administered,Rate of drug elimination,Volume of distribution,0
Question Bank,Pharmacy,What does NSAIDs stand for?,Non-Steroidal Anti-Inflammatory Drugs,Nervous System Analgesic and Immunosuppressant Drugs,Non-Selective Antibiotic and Inflammation Drugs,Neuro-Systemic Agent of Inflammatory Defense,0
Question Bank,Pharmacy,What is a prodrug?,An inactive drug that is converted to active form in the body,A drug stored at cold temperature,A drug given by injection,A drug with no side effects,0
Question Bank,Pharmacy,What is the half-life of a drug?,Time for drug concentration to fall by 50%,Time for drug to be fully eliminated,Time for drug to reach peak concentration,Time for drug to be absorbed,0
Question Bank,Pharmacy,What is pharmacokinetics?,Study of drug movement through the body,Study of drug effects on the body,Study of drug manufacturing,Study of drug interactions,0
Question Bank,Pharmacy,What does OTC mean in pharmacy?,Over The Counter,Official Treatment Code,Optimal Therapeutic Concentration,Oral Tablet Capsule,0
Question Bank,Pharmacy,What is the first-pass effect?,Reduction of drug concentration after gut and liver metabolism before reaching systemic circulation,Drug excretion by kidneys,Drug binding to plasma proteins,Drug distribution to tissues,0
Question Bank,Pharmacy,What is an antagonist in pharmacology?,A drug that binds to a receptor and blocks its activity,A drug that activates a receptor,A drug that has no effect,A hormone in the body,0
Question Bank,Pharmacy,What is the therapeutic index?,Ratio of toxic dose to therapeutic dose,Dose given to a patient,Rate of drug absorption,Drug solubility,0
Question Bank,Pharmacy,What are excipients?,Inactive ingredients in a pharmaceutical formulation,Active drug ingredients,Preservatives only,Coloring agents only,0
Question Bank,Pharmacy,What is enteric coating used for?,Protect drug from stomach acid and release in intestine,Improve drug taste,Increase drug solubility,Reduce manufacturing cost,0
Question Bank,Pharmacy,What is polypharmacy?,Use of multiple medications by one patient,Pharmacy selling multiple drugs,Using drugs from different countries,Combining herbal and modern medicine,0
Question Bank,Pharmacy,What does ADR stand for in pharmacy?,Adverse Drug Reaction,Approved Drug Release,Alternative Drug Response,Automated Dispensing Record,0
Question Bank,Pharmacy,What is the function of plasma protein binding of drugs?,Affects drug distribution and free drug concentration,Increases drug elimination,Activates the drug,Prevents drug absorption,0
Question Bank,Pharmacy,What is a controlled substance?,A drug regulated by law due to abuse potential,A drug that requires refrigeration,A drug only for hospital use,A drug with no side effects,0
Question Bank,Pharmacy,What does GMP stand for in pharmaceuticals?,Good Manufacturing Practice,General Medical Procedure,Global Medicine Protocol,Graded Manufacturing Process,0
Question Bank,Pharmacy,What is a generic drug?,A drug with the same active ingredient as the brand but sold under its chemical name,A cheaper version with different ingredients,A drug that has expired,A drug made from natural sources,0
Question Bank,Pharmacy,What is pharmacovigilance?,Monitoring the safety of drugs after they are marketed,Drug development process,Clinical trial management,Drug pricing regulation,0
Question Bank,Pharmacy,What is the route of administration that has the fastest onset?,Intravenous,Oral,Transdermal,Subcutaneous,0
Question Bank,Pharmacy,What does SL mean for drug administration?,Sublingual (under the tongue),Subcutaneous,Slow Loading,Systemic Level,0
Question Bank,Pharmacy,What is an agonist in pharmacology?,A drug that binds to and activates a receptor,A drug that blocks a receptor,A drug that has no receptor interaction,A hormone antagonist,0
Question Bank,Pharmacy,What is dry powder inhaler (DPI) used for?,Deliver medication directly to the lungs,Measure lung capacity,Nebulise liquid drugs,Administer drugs intravenously,0
