category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Mechanical,What is the SI unit of torque?,Watt,Newton-meter,Pascal,Joule per second,1
Question Bank,Mechanical,Which law states that stress is proportional to strain within the elastic limit?,Newton's law,Hooke's law,Boyle's law,Ohm's law,1
Question Bank,Mechanical,What type of gear is used to transmit motion between non-parallel shafts?,Spur gear,Bevel gear,Helical gear,Worm gear,1
Question Bank,Mechanical,What does CNC stand for?,Computer Numeric Control,Central Node Connection,Calculated Numeric Code,Computer Network Control,0
Question Bank,Mechanical,Which cycle is used in petrol engines?,Diesel cycle,Otto cycle,Rankine cycle,Brayton cycle,1
Question Bank,Mechanical,What is the purpose of a flywheel?,Store rotational energy,Generate electricity,Filter air,Cool the engine,0
Question Bank,Mechanical,Which material property indicates resistance to scratching?,Ductility,Hardness,Toughness,Elasticity,1
Question Bank,Mechanical,What is the function of a governor in an engine?,Control speed,Increase fuel,Reduce noise,Filter oil,0
Question Bank,Mechanical,What does CAD stand for?,Computer Aided Design,Central Automatic Device,Calculated Area Dimension,Computer Analog Display,0
Question Bank,Mechanical,Which type of stress occurs when forces pull apart?,Compressive,Shear,Tensile,Torsional,2
IQ Games,Mechanical,A gear with 20 teeth meshes with one of 40 teeth. If the first rotates at 100 RPM what is the second's speed?,200,50,100,25,1
IQ Games,Mechanical,If a machine has 80% efficiency and input is 500W what is the output?,400W,500W,300W,450W,0
IQ Games,Mechanical,What comes next: 1 1 2 3 5 8 ?,10,11,13,15,2
IQ Games,Mechanical,A shaft rotates 3600 times in one hour. What is its RPM?,60,3600,360,600,0
IQ Games,Mechanical,If pressure doubles and volume halves what happens to temperature (ideal gas)?,Stays same,Doubles,Halves,Quadruples,0
IQ Games,Mechanical,How many faces does a hexagonal prism have?,6,7,8,9,2
IQ Games,Mechanical,A lever has a 2m arm and 0.5m arm. What is the mechanical advantage?,0.25,2,4,8,2
