category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Civil,What is the primary purpose of a retaining wall?,Decoration,Holding back soil,Water storage,Electrical insulation,1
Question Bank,Civil,Which material is most commonly used in reinforced concrete?,Wood,Steel,Plastic,Copper,1
Question Bank,Civil,What does SPT stand for in geotechnical engineering?,Standard Penetration Test,Soil Pressure Test,Structural Performance Test,Standard Pile Test,0
Question Bank,Civil,What is the unit of stress in the SI system?,Newton,Pascal,Joule,Watt,1
Question Bank,Civil,Which type of foundation is used for skyscrapers?,Strip foundation,Raft foundation,Pile foundation,Pad foundation,2
Question Bank,Civil,What is the Mohs scale used for?,Measuring hardness of minerals,Measuring water pH,Measuring soil moisture,Measuring air pressure,0
Question Bank,Civil,What instrument measures the flow velocity of water in a channel?,Barometer,Current meter,Anemometer,Hygrometer,1
Question Bank,Civil,What is the function of an expansion joint in a bridge?,Aesthetic purpose,Allow thermal movement,Increase load capacity,Reduce construction cost,1
Question Bank,Civil,What does BOD stand for in environmental engineering?,Biological Oxygen Demand,Basic Oxidation Depth,Building Occupancy Design,Bulk Oil Density,0
Question Bank,Civil,Which test determines the consistency of concrete?,Slump test,Tensile test,Compression test,Fatigue test,0
IQ Games,Civil,A beam is 12m long. If you cut it into 3 equal parts then each in half how many pieces do you have?,3,6,9,12,1
IQ Games,Civil,If a wall takes 4 workers 6 days to build how many days for 8 workers?,12,3,6,2,1
IQ Games,Civil,What comes next in the sequence: 2 6 12 20 30 ?,40,42,36,38,1
IQ Games,Civil,A pipe fills a tank in 6 hours another empties it in 12 hours. Both open how long to fill?,8,10,12,14,2
IQ Games,Civil,If concrete cures 80% in 7 days what day does it reach 50% approximately?,1,2,3,4,2
IQ Games,Civil,A triangle has angles 90Â° and 45Â°. What is the third angle?,30,45,60,90,1
IQ Games,Civil,What is 15% of 200?,25,30,35,40,1
IQ Games,Civil,How many right angles does a rectangle have?,2,3,4,5,2
IQ Games,Civil,If a survey measures 100m with 2% error what is the max actual distance?,98,100,102,104,2
IQ Games,Civil,Which shape has the maximum area for a given perimeter?,Triangle,Square,Circle,Rectangle,2
Career Questions,Civil,What is the most important skill for a civil engineer in the field?,Cooking,Communication and teamwork,Painting,Singing,1
Career Questions,Civil,Which software is widely used for structural analysis?,Photoshop,SAP2000,Excel,PowerPoint,1
Career Questions,Civil,What does a project manager primarily do?,Design structures,Manage timelines and resources,Pour concrete,Conduct soil tests,1
Career Questions,Civil,Which certification is valuable for construction professionals?,PMP,AWS,CCNA,CompTIA A+,0
Career Questions,Civil,What is a BIM model?,A 3D digital building representation,A type of cement,A soil classification,A water treatment method,0
