category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Electrical,What is the standard SI unit or primary formula for Capacitance?,Farad,Henry,Ohm,Tesla,0
Question Bank,Electrical,What is the standard SI unit or primary formula for Inductance?,Farad,Weber,Henry,Ohm,2
Question Bank,Electrical,What is the standard SI unit or primary formula for Magnetic Flux?,Henry,Tesla,Weber,Gauss,2
Question Bank,Electrical,What is the standard SI unit or primary formula for Magnetic Flux Density?,Henry,Tesla,Weber,Ampere/meter,1
Question Bank,Electrical,What is the standard SI unit or primary formula for Electrical Charge?,Ampere,Volt,Coulomb,Joule,2
Question Bank,Electrical,What is the standard SI unit or primary formula for Ohm's Law?,P = V * I,V = I * R,V = L * (di/dt),Q = C * V,1
Question Bank,Electrical,What is the standard SI unit or primary formula for Kirchhoff's Current Law (KCL)?,The algebraic sum of currents entering a node is zero,Voltage is directly proportional to current,The sum of voltage drops around a loop is zero,Power is the product of voltage and current,0
Question Bank,Electrical,What is the standard SI unit or primary formula for Kirchhoff's Voltage Law (KVL)?,The algebraic sum of voltages around a closed loop is zero,Current is inversely proportional to resistance,Energy cannot be created or destroyed,The sum of currents entering a node is zero,0
Question Bank,Electrical,What is the standard SI unit or primary formula for Faraday's Law of Induction?,Current through a conductor between two points is directly proportional to the voltage,The force between two point charges is proportional to the product of the charges,The total charge of an isolated system remains constant,A changing magnetic field induces an electromotive force (EMF),3
Question Bank,Electrical,What is the standard SI unit or primary formula for Lenz's Law?,The direction of an induced current opposes the change that produced it,The total power in a circuit equals the sum of power dissipated,"Like charges repel, opposite charges attract",The magnetic field of a coil is proportional to its current,0
Question Bank,Electrical,What is the standard SI unit or primary formula for Capacitor?,Restricts the flow of alternating current,Stores electrical energy in an electric field,Stores electrical energy in a magnetic field,Converts alternating current to direct current,1
Question Bank,Electrical,What is the standard SI unit or primary formula for Inductor?,Measures the potential difference in a circuit,Stores electrical energy in a magnetic field,Allows direct current to pass while blocking alternating current,Stores electrical energy in an electric field,1
Question Bank,Electrical,What is the standard SI unit or primary formula for Diode?,Measures the resistance of a circuit,Steps up or steps down AC voltages,Amplifies weak electrical signals,Allows current to flow primarily in only one direction,3
Question Bank,Electrical,What is the standard SI unit or primary formula for Transistor?,Stores energy permanently,Converts DC to AC,Generates magnetic fields for motors,Can act as an amplifier or a switch,3
Question Bank,Electrical,What is the standard SI unit or primary formula for Transformer?,Stores large amounts of static electricity,Converts electrical energy into mechanical energy,Steps up or steps down alternating current (AC) voltages,Converts direct current (DC) to alternating current (AC),2
Question Bank,Electrical,What is the standard SI unit or primary formula for Real Power (Active Power)?,The power consumed only by inductors,The vector sum of true and reactive power,"The power actually consumed by the resistive loads, measured in Watts",The power that oscillates between source and reactive loads,2
Question Bank,Electrical,What is the standard SI unit or primary formula for Reactive Power?,The power lost as heat in transmission lines,The total power delivered by the utility company,"The power temporarily stored in inductive or capacitive elements, measured in VAR",The mechanical power output of a motor,2
Question Bank,Electrical,What is the standard SI unit or primary formula for Apparent Power?,The power consumed by a diode,The power dissipated by resistors,"The vector sum of real and reactive power, measured in VA",The ratio of real power to apparent power,2
Question Bank,Electrical,What is the standard SI unit or primary formula for Power Factor?,The ratio of real power to apparent power,The efficiency of a transformer,The difference between apparent and reactive power,The total impedance of a circuit,0
Question Bank,Electrical,What is the standard SI unit or primary formula for Inverter?,Increases the voltage of a DC signal,Converts direct current (DC) to alternating current (AC),Acts as a safety switch against overcurrent,Converts alternating current (AC) to direct current (DC),1
Question Bank,Electrical,Which of the following statements best describes Capacitance?,Farad,Ohm,Tesla,Henry,0
Question Bank,Electrical,Which of the following statements best describes Inductance?,Henry,Ohm,Farad,Weber,0
Question Bank,Electrical,Which of the following statements best describes Magnetic Flux?,Henry,Gauss,Weber,Tesla,2
Question Bank,Electrical,Which of the following statements best describes Magnetic Flux Density?,Weber,Ampere/meter,Tesla,Henry,2
Question Bank,Electrical,Which of the following statements best describes Electrical Charge?,Ampere,Volt,Coulomb,Joule,2
Question Bank,Electrical,Which of the following statements best describes Ohm's Law?,V = I * R,P = V * I,V = L * (di/dt),Q = C * V,0
Question Bank,Electrical,Which of the following statements best describes Kirchhoff's Current Law (KCL)?,Voltage is directly proportional to current,Power is the product of voltage and current,The sum of voltage drops around a loop is zero,The algebraic sum of currents entering a node is zero,3
Question Bank,Electrical,Which of the following statements best describes Kirchhoff's Voltage Law (KVL)?,The algebraic sum of voltages around a closed loop is zero,The sum of currents entering a node is zero,Energy cannot be created or destroyed,Current is inversely proportional to resistance,0
Question Bank,Electrical,Which of the following statements best describes Faraday's Law of Induction?,Current through a conductor between two points is directly proportional to the voltage,A changing magnetic field induces an electromotive force (EMF),The force between two point charges is proportional to the product of the charges,The total charge of an isolated system remains constant,1
Question Bank,Electrical,Which of the following statements best describes Lenz's Law?,The direction of an induced current opposes the change that produced it,The total power in a circuit equals the sum of power dissipated,The magnetic field of a coil is proportional to its current,"Like charges repel, opposite charges attract",0
Question Bank,Electrical,Which of the following statements best describes Capacitor?,Restricts the flow of alternating current,Stores electrical energy in an electric field,Converts alternating current to direct current,Stores electrical energy in a magnetic field,1
Question Bank,Electrical,Which of the following statements best describes Inductor?,Allows direct current to pass while blocking alternating current,Stores electrical energy in an electric field,Measures the potential difference in a circuit,Stores electrical energy in a magnetic field,3
Question Bank,Electrical,Which of the following statements best describes Diode?,Steps up or steps down AC voltages,Allows current to flow primarily in only one direction,Amplifies weak electrical signals,Measures the resistance of a circuit,1
Question Bank,Electrical,Which of the following statements best describes Transistor?,Converts DC to AC,Generates magnetic fields for motors,Stores energy permanently,Can act as an amplifier or a switch,3
Question Bank,Electrical,Which of the following statements best describes Transformer?,Converts electrical energy into mechanical energy,Steps up or steps down alternating current (AC) voltages,Stores large amounts of static electricity,Converts direct current (DC) to alternating current (AC),1
Question Bank,Electrical,Which of the following statements best describes Real Power (Active Power)?,The power that oscillates between source and reactive loads,The vector sum of true and reactive power,The power consumed only by inductors,"The power actually consumed by the resistive loads, measured in Watts",3
Question Bank,Electrical,Which of the following statements best describes Reactive Power?,The power lost as heat in transmission lines,"The power temporarily stored in inductive or capacitive elements, measured in VAR",The total power delivered by the utility company,The mechanical power output of a motor,1
Question Bank,Electrical,Which of the following statements best describes Apparent Power?,The power dissipated by resistors,The power consumed by a diode,"The vector sum of real and reactive power, measured in VA",The ratio of real power to apparent power,2
Question Bank,Electrical,Which of the following statements best describes Power Factor?,The ratio of real power to apparent power,The total impedance of a circuit,The efficiency of a transformer,The difference between apparent and reactive power,0
Question Bank,Electrical,Which of the following statements best describes Inverter?,Acts as a safety switch against overcurrent,Converts alternating current (AC) to direct current (DC),Increases the voltage of a DC signal,Converts direct current (DC) to alternating current (AC),3
Question Bank,Electrical,"In electrical engineering, 'Capacitance' is primarily associated with:",Ohm,Farad,Henry,Tesla,1
Question Bank,Electrical,"In electrical engineering, 'Inductance' is primarily associated with:",Henry,Ohm,Weber,Farad,0
Question Bank,Electrical,"In electrical engineering, 'Magnetic Flux' is primarily associated with:",Gauss,Henry,Weber,Tesla,2
Question Bank,Electrical,"In electrical engineering, 'Magnetic Flux Density' is primarily associated with:",Henry,Tesla,Weber,Ampere/meter,1
Question Bank,Electrical,"In electrical engineering, 'Electrical Charge' is primarily associated with:",Ampere,Volt,Joule,Coulomb,3
Question Bank,Electrical,"In electrical engineering, 'Ohm's Law' is primarily associated with:",V = L * (di/dt),P = V * I,Q = C * V,V = I * R,3
