category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Mechanical,What is the standard SI unit of Force?,Watt,Joule,Pascal,Newton,3
Question Bank,Mechanical,What is the standard SI unit of Work?,Pascal,Watt,Joule,Newton,2
Question Bank,Mechanical,What is the standard SI unit of Power?,Joule,Pascal,Newton,Watt,3
Question Bank,Mechanical,What is the standard SI unit of Pressure?,Newton,Joule,Pascal,Watt,2
Question Bank,Mechanical,What is the standard SI unit of Stress?,Newton,Joule,Watt,Pascal,3
Question Bank,Mechanical,What is the standard SI unit of Frequency?,Joule,Watt,Newton,Hertz,3
Question Bank,Mechanical,What is the standard SI unit of Velocity?,N/m,m/s^2,m/s,kg/m^3,2
Question Bank,Mechanical,What is the standard SI unit of Acceleration?,m/s,kg/m^3,m/s^2,N/m,2
Question Bank,Mechanical,What is the standard SI unit of Density?,kg/m^3,N/m,m/s^2,m/s,0
Question Bank,Mechanical,What is the standard SI unit of Surface Tension?,kg/m^3,m/s,N/m,m/s^2,2
Question Bank,Mechanical,What is the standard SI unit of Dynamic Viscosity?,N/m,m^2/s,J/kg,Pa.s,3
Question Bank,Mechanical,What is the standard SI unit of Kinematic Viscosity?,J/kg,N/m,Pa.s,m^2/s,3
Question Bank,Mechanical,What is the standard SI unit of Specific Heat?,W/m^2,W/(m.K),J/(kg.K),J/kg,2
Question Bank,Mechanical,What is the standard SI unit of Thermal Conductivity?,J/kg,W/m^2,J/(kg.K),W/(m.K),3
Question Bank,Mechanical,What is the standard SI unit of Heat Flux?,W/m^2,J/(kg.K),J/kg,W/(m.K),0
Question Bank,Mechanical,What is the standard SI unit of Torque?,J/kg,N.m,W,N/m,1
Question Bank,Mechanical,What is the standard SI unit of Angular Velocity?,rad/s^2,Hz,m/s,rad/s,3
Question Bank,Mechanical,What is the standard SI unit of Angular Acceleration?,rad/s,Hz,rad/s^2,m/s^2,2
Question Bank,Mechanical,What is the standard SI unit of Moment of Inertia?,kg/m^3,N.m,kg.m,kg.m^2,3
Question Bank,Mechanical,What is the standard SI unit of Mass Flow Rate?,kg/s,m^3/s,N/s,J/s,0
Question Bank,Mechanical,What is primarily associated with the First Law of Thermodynamics?,Energy conservation,Absolute zero,Ideal gas behavior,Entropy increase,0
Question Bank,Mechanical,Which principle or concept is best described by: 'Energy conservation'?,First Law of Thermodynamics,Pascal's Law,Newton's Law of Cooling,Boyle's Law,0
Question Bank,Mechanical,What is primarily associated with the Second Law of Thermodynamics?,Energy conservation,Ideal gas behavior,Absolute zero,Entropy increase,3
Question Bank,Mechanical,Which principle or concept is best described by: 'Entropy increase'?,Newton's Law of Cooling,Pascal's Law,Second Law of Thermodynamics,Boyle's Law,2
Question Bank,Mechanical,What is primarily associated with the Zeroth Law of Thermodynamics?,Energy conservation,Thermal equilibrium,Entropy increase,Absolute zero,1
Question Bank,Mechanical,Which principle or concept is best described by: 'Thermal equilibrium'?,Boyle's Law,Pascal's Law,Zeroth Law of Thermodynamics,Newton's Law of Cooling,2
Question Bank,Mechanical,What is primarily associated with the Third Law of Thermodynamics?,Energy conservation,Entropy increase,Thermal equilibrium,Absolute zero,3
Question Bank,Mechanical,Which principle or concept is best described by: 'Absolute zero'?,Boyle's Law,Pascal's Law,Third Law of Thermodynamics,Newton's Law of Cooling,2
Question Bank,Mechanical,What is primarily associated with the Otto Cycle?,Steam power plants,Compression ignition engines,Spark ignition engines,Gas turbines,2
Question Bank,Mechanical,Which principle or concept is best described by: 'Spark ignition engines'?,Otto Cycle,Boyle's Law,Newton's Law of Cooling,Pascal's Law,0
Question Bank,Mechanical,What is primarily associated with the Diesel Cycle?,Gas turbines,Compression ignition engines,Steam power plants,Spark ignition engines,1
Question Bank,Mechanical,Which principle or concept is best described by: 'Compression ignition engines'?,Diesel Cycle,Pascal's Law,Newton's Law of Cooling,Boyle's Law,0
Question Bank,Mechanical,What is primarily associated with the Brayton Cycle?,Gas turbines,Spark ignition engines,Compression ignition engines,Steam power plants,0
Question Bank,Mechanical,Which principle or concept is best described by: 'Gas turbines'?,Boyle's Law,Pascal's Law,Brayton Cycle,Newton's Law of Cooling,2
Question Bank,Mechanical,What is primarily associated with the Rankine Cycle?,Gas turbines,Spark ignition engines,Steam power plants,Compression ignition engines,2
Question Bank,Mechanical,Which principle or concept is best described by: 'Steam power plants'?,Boyle's Law,Newton's Law of Cooling,Pascal's Law,Rankine Cycle,3
Question Bank,Mechanical,What is primarily associated with the Carnot Cycle?,Practical engine design,Maximum theoretical efficiency,Refrigeration only,Jet propulsion,1
Question Bank,Mechanical,Which principle or concept is best described by: 'Maximum theoretical efficiency'?,Carnot Cycle,Newton's Law of Cooling,Boyle's Law,Pascal's Law,0
Question Bank,Mechanical,What is primarily associated with the Bernoulli's Principle?,Conservation of mass in fluids,Conservation of energy in fluids,Compressible flow,Viscous drag,1
Question Bank,Mechanical,Which principle or concept is best described by: 'Conservation of energy in fluids'?,Pascal's Law,Boyle's Law,Newton's Law of Cooling,Bernoulli's Principle,3
Question Bank,Mechanical,What is primarily associated with the Continuity Equation?,Compressible flow,Conservation of energy in fluids,Conservation of mass in fluids,Viscous drag,2
Question Bank,Mechanical,Which principle or concept is best described by: 'Conservation of mass in fluids'?,Newton's Law of Cooling,Boyle's Law,Continuity Equation,Pascal's Law,2
Question Bank,Mechanical,What is primarily associated with the Reynolds Number?,Material hardness,Subsonic vs Supersonic flow,Heat transfer rate,Laminar vs Turbulent flow,3
Question Bank,Mechanical,Which principle or concept is best described by: 'Laminar vs Turbulent flow'?,Pascal's Law,Reynolds Number,Newton's Law of Cooling,Boyle's Law,1
Question Bank,Mechanical,What is primarily associated with the Mach Number?,Laminar vs Turbulent flow,Subsonic vs Supersonic flow,Material hardness,Heat transfer rate,1
Question Bank,Mechanical,Which principle or concept is best described by: 'Subsonic vs Supersonic flow'?,Newton's Law of Cooling,Mach Number,Pascal's Law,Boyle's Law,1
Question Bank,Mechanical,What is primarily associated with the Nusselt Number?,Material hardness,Subsonic vs Supersonic flow,Laminar vs Turbulent flow,Convective heat transfer,3
Question Bank,Mechanical,Which principle or concept is best described by: 'Convective heat transfer'?,Boyle's Law,Newton's Law of Cooling,Nusselt Number,Pascal's Law,2
Question Bank,Mechanical,What is primarily associated with the Prandtl Number?,Laminar vs Turbulent flow,Momentum diffusivity vs Thermal diffusivity,Convective heat transfer,Subsonic vs Supersonic flow,1
Question Bank,Mechanical,Which principle or concept is best described by: 'Momentum diffusivity vs Thermal diffusivity'?,Boyle's Law,Newton's Law of Cooling,Pascal's Law,Prandtl Number,3
Question Bank,Mechanical,What is primarily associated with the Hooke's Law?,Heat transfer,Plastic deformation,Fluid viscosity,Elastic deformation,3
Question Bank,Mechanical,Which principle or concept is best described by: 'Elastic deformation'?,Boyle's Law,Pascal's Law,Newton's Law of Cooling,Hooke's Law,3
Question Bank,Mechanical,What is primarily associated with the Yield Strength?,Onset of plastic deformation,Elastic limit,Maximum stress,Breaking point,0
Question Bank,Mechanical,Which principle or concept is best described by: 'Onset of plastic deformation'?,Yield Strength,Newton's Law of Cooling,Pascal's Law,Boyle's Law,0
Question Bank,Mechanical,What is primarily associated with the Ultimate Tensile Strength?,Elastic limit,Maximum stress before failure,Breaking point,Onset of plastic deformation,1
