category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Software Engineering,What does HTML stand for?,HyperText Markup Language,High Technology Modern Language,HyperText Modern Links,High Text Markup Language,0
Question Bank,Software Engineering,Which symbol is used for single-line comments in Python?,//,#,/*,--,1
Question Bank,Software Engineering,What does CPU stand for?,Central Processing Unit,Computer Personal Unit,Central Program Utility,Core Processing Unit,0
Question Bank,Software Engineering,Which data structure follows LIFO order?,Queue,Array,Stack,Linked List,2
Question Bank,Software Engineering,What is the binary representation of decimal 10?,1010,1100,1001,1110,0
Question Bank,Software Engineering,Which language is primarily used for styling web pages?,HTML,JavaScript,CSS,PHP,2
Question Bank,Software Engineering,What does OOP stand for?,Object-Oriented Programming,Open Online Processing,Ordered Object Protocol,Output Oriented Programming,0
Question Bank,Software Engineering,Which of these is a version control system?,Docker,Git,Jira,Slack,1
Question Bank,Software Engineering,What is the time complexity of binary search?,O(n),O(n²),O(log n),O(1),2
Question Bank,Software Engineering,Which keyword is used to declare a variable in JavaScript?,var,int,dim,define,0
Question Bank,Software Engineering,What does SQL stand for?,Structured Query Language,Simple Question Language,System Query Logic,Structured Question List,0
Question Bank,Software Engineering,Which data structure uses FIFO order?,Stack,Queue,Tree,Graph,1
Question Bank,Software Engineering,What is the default port for HTTP?,443,21,80,8080,2
Question Bank,Software Engineering,Which operator checks both value and type in JavaScript?,==,!=,===,=,2
Question Bank,Software Engineering,What does RAM stand for?,Read Access Memory,Random Access Memory,Rapid Application Memory,Read And Memorize,1
Question Bank,Software Engineering,"In Python, which function prints output to the screen?",echo(),console.log(),print(),write(),2
Question Bank,Software Engineering,What is an algorithm?,A programming language,A set of instructions to solve a problem,A type of database,A hardware component,1
Question Bank,Software Engineering,Which of these is NOT a programming paradigm?,Object-Oriented,Functional,Procedural,Sequential Filing,3
Question Bank,Software Engineering,What does IDE stand for?,Integrated Development Environment,Internal Debug Engine,Internet Development Extension,Integrated Debug Editor,0
Question Bank,Software Engineering,Which HTML tag creates a hyperlink?,<link>,<href>,<a>,<url>,2
Question Bank,Software Engineering,What is the main purpose of an operating system?,Run browsers,Manage hardware and software resources,Write code,Store files only,1
Question Bank,Software Engineering,Which of the following is a relational database?,MongoDB,Redis,MySQL,Cassandra,2
Question Bank,Software Engineering,What does API stand for?,Application Programming Interface,Automated Program Integration,Application Protocol Index,Applied Programming Input,0
Question Bank,Software Engineering,Which sorting algorithm is the simplest to implement?,Quick Sort,Merge Sort,Bubble Sort,Heap Sort,2
Question Bank,Software Engineering,What is a variable in programming?,A fixed value,A named storage location for data,A type of loop,A function,1
Question Bank,Software Engineering,Which protocol is used to send emails?,HTTP,FTP,SMTP,SSH,2
Question Bank,Software Engineering,What does 'localhost' refer to?,A remote server,The current machine you are working on,A DNS server,A cloud service,1
Question Bank,Software Engineering,What is an array?,A single data value,A collection of elements of the same type,A type of function,A database table,1
Question Bank,Software Engineering,What is the purpose of a compiler?,Run programs directly,Convert source code to machine code,Debug errors,Manage memory,1
Question Bank,Software Engineering,Which symbol denotes a class in a UML diagram?,Circle,Diamond,Rectangle,Triangle,2
Question Bank,Software Engineering,Which of the following is an example of open-source software?,Microsoft Office,Adobe Photoshop,Linux,Windows 10,2
Question Bank,Software Engineering,What does 'debugging' mean in software development?,Writing new code,Finding and fixing errors in code,Compiling code,Deploying software,1
Question Bank,Software Engineering,What is the extension of a Python file?,.java,.py,.cpp,.cs,1
Question Bank,Software Engineering,Which command initializes a new Git repository?,git start,git init,git create,git new,1
IQ Games,Software Engineering,"If a program runs in 4 seconds and you double its efficiency, how long does it run?",1 second,2 seconds,3 seconds,4 seconds,1
IQ Games,Software Engineering,What is 1024 bytes called?,1 Megabyte,1 Kilobyte,1 Gigabyte,1 Terabyte,1
