category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,CE,What is the best description of 'Portland Cement'?,The most common type of cement in general use around the world,A synthetic polymer used in road marking,A natural stone used in masonry,A type of reinforced steel,0
Question Bank,CE,What is the best description of 'Curing'?,The process of maintaining adequate moisture and temperature in concrete,The excavation of soil for foundations,The initial mixing of water and cement,The process of bending steel rebars,0
Question Bank,CE,What is the best description of 'Slump Test'?,An empirical test that measures the workability of fresh concrete,A test to determine the compressive strength of hardened concrete,A test to measure the tensile strength of steel,A test for soil compaction,0
Question Bank,CE,What is the best description of 'Reinforced Concrete'?,Concrete that has been pre-stressed only,Concrete without any coarse aggregates,Concrete that is mixed with salt water,Concrete in which steel is embedded to increase its tensile strength,3
Question Bank,CE,What is the best description of 'Bending Moment'?,The measure of a material's elasticity,The internal force that causes a member to twist,The force acting parallel to the cross-section,The reaction induced in a structural element when an external force or moment is applied to the element causing it to bend,3
Question Bank,CE,What is the best description of 'Shear Force'?,A force that pulls a member apart,A moment that causes twisting,An internal force in a structural member that acts parallel to the cross-section,The maximum load a column can carry,2
Question Bank,CE,What is the best description of 'Truss'?,A retaining wall system,A type of deep foundation,A solid continuous concrete slab,"A framework, typically consisting of triangles, supporting a roof, bridge, or other structure",3
Question Bank,CE,What is the best description of 'Hooke's Law'?,The buoyant force equals the weight of displaced fluid,The sum of all forces at a node is zero,The strain in a solid is proportional to the applied stress within the elastic limit,The total energy in a fluid system is constant,2
Question Bank,CE,What is the best description of 'Atterberg Limits'?,"Basic measures of the critical water contents of a fine-grained soil (shrinkage, plastic, and liquid limits)",The maximum bearing capacity of rock,The limits of steel elongation,The speed limits on a newly constructed highway,0
Question Bank,CE,What is the best description of 'Consolidation'?,The physical compaction of soil using heavy machinery,The chemical hardening of cement,The immediate settling of dry sand,The process by which soils decrease in volume over time as water is squeezed out of the pores under load,3
Question Bank,CE,What is the best description of 'Bearing Capacity'?,The maximum height of a retaining wall,The capacity of soil to support the loads applied to the ground,The amount of water a soil can hold,The tensile strength of an embedded pile,1
Question Bank,CE,What is the best description of 'Theodolite'?,A tool to measure the slump of concrete,A heavy machine for compacting asphalt,A precision optical instrument for measuring angles between designated visible points in the horizontal and vertical planes,A device used to test the compressive strength of cylinders,2
Question Bank,CE,What is the best description of 'Camber'?,The transverse slope provided to the road surface to drain off rainwater,The widening of a road at a curve,The longitudinal gradient of a road,The thickness of the pavement base course,0
Question Bank,CE,What is the best description of 'Superelevation'?,The banking of a roadway along a curve to counteract centrifugal force,The raising of ground level for flood protection,The highest point of a bridge arch,The excessive vibration of a bridge deck,0
Question Bank,CE,What is the best description of 'Manning's Equation'?,A formula for calculating structural deflection,An equation for soil settlement over time,A chemical equation for cement hydration,An empirical equation applying to uniform flow in open channels,3
Question Bank,CE,What is the best description of 'Hydraulic Jump'?,The flow of water through soil pores,A phenomenon in open channel flow where high velocity liquid abruptly slows and increases in depth,The sudden failure of a dam,The pumping of groundwater from a well,1
Question Bank,CE,Which of the following statements correctly defines 'Portland Cement'?,The most common type of cement in general use around the world,A type of reinforced steel,A natural stone used in masonry,A synthetic polymer used in road marking,0
Question Bank,CE,Which of the following statements correctly defines 'Curing'?,The excavation of soil for foundations,The process of bending steel rebars,The initial mixing of water and cement,The process of maintaining adequate moisture and temperature in concrete,3
Question Bank,CE,Which of the following statements correctly defines 'Slump Test'?,A test to measure the tensile strength of steel,A test to determine the compressive strength of hardened concrete,A test for soil compaction,An empirical test that measures the workability of fresh concrete,3
Question Bank,CE,Which of the following statements correctly defines 'Reinforced Concrete'?,Concrete that has been pre-stressed only,Concrete that is mixed with salt water,Concrete without any coarse aggregates,Concrete in which steel is embedded to increase its tensile strength,3
Question Bank,CE,Which of the following statements correctly defines 'Bending Moment'?,The reaction induced in a structural element when an external force or moment is applied to the element causing it to bend,The measure of a material's elasticity,The internal force that causes a member to twist,The force acting parallel to the cross-section,0
Question Bank,CE,Which of the following statements correctly defines 'Shear Force'?,The maximum load a column can carry,An internal force in a structural member that acts parallel to the cross-section,A moment that causes twisting,A force that pulls a member apart,1
Question Bank,CE,Which of the following statements correctly defines 'Truss'?,A solid continuous concrete slab,"A framework, typically consisting of triangles, supporting a roof, bridge, or other structure",A type of deep foundation,A retaining wall system,1
Question Bank,CE,Which of the following statements correctly defines 'Hooke's Law'?,The strain in a solid is proportional to the applied stress within the elastic limit,The total energy in a fluid system is constant,The buoyant force equals the weight of displaced fluid,The sum of all forces at a node is zero,0
Question Bank,CE,Which of the following statements correctly defines 'Atterberg Limits'?,The limits of steel elongation,The maximum bearing capacity of rock,The speed limits on a newly constructed highway,"Basic measures of the critical water contents of a fine-grained soil (shrinkage, plastic, and liquid limits)",3
