category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Nursing,What is the normal adult body temperature in Celsius?,35°C,36.5–37.5°C,38.5°C,40°C,1
Question Bank,Nursing,Which blood type is known as the universal donor?,AB+,O+,O-,A-,2
Question Bank,Nursing,How many bones are in the adult human body?,196,206,216,226,1
Question Bank,Nursing,What is the normal adult respiratory rate per minute?,6-10,12-20,22-30,30-40,1
Question Bank,Nursing,What does BP stand for in nursing?,Body Proportion,Blood Pressure,Body Pulse,Bone Position,1
Question Bank,Nursing,Which organ produces insulin?,Liver,Kidney,Pancreas,Spleen,2
Question Bank,Nursing,What is the normal adult pulse rate per minute?,40-60,60-100,100-120,120-140,1
Question Bank,Nursing,Which vitamin is produced when skin is exposed to sunlight?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,3
Question Bank,Nursing,What is the largest organ of the human body?,Heart,Liver,Skin,Lung,2
Question Bank,Nursing,Normal blood glucose fasting level is?,2-4 mmol/L,4-7 mmol/L,8-10 mmol/L,10-12 mmol/L,1
Question Bank,Nursing,Which part of the heart pumps blood to the lungs?,Left ventricle,Right ventricle,Left atrium,Right atrium,1
Question Bank,Nursing,What does IV stand for in medication administration?,Internal Vein,Intravenous,Intermediate Volume,Intravascular,1
Question Bank,Nursing,Which position is used for patients in shock?,Sitting upright,Trendelenburg,Prone,Lateral,1
Question Bank,Nursing,What is the universal precaution all nurses must take?,Wear gloves always,Handwashing,Use mask,Double gloving,1
Question Bank,Nursing,Which nerve controls heart rate?,Femoral,Radial,Vagus,Ulnar,2
Question Bank,Nursing,What does 'NPO' mean in nursing orders?,No Pain Observed,Nothing by Mouth,Normal Patient Outcome,No Pressure Order,1
Question Bank,Nursing,How many chambers does the human heart have?,2,3,4,5,2
Question Bank,Nursing,Normal urine output per hour for an adult is?,10-20 mL,30-50 mL,60-80 mL,100 mL,1
Question Bank,Nursing,Which artery is used to check pulse at the wrist?,Brachial,Carotid,Radial,Femoral,2
Question Bank,Nursing,What is the correct sequence of CPR compressions to breaths for adults?,15:2,30:2,20:1,10:1,1
Question Bank,Nursing,Which electrolyte is most abundant inside body cells?,Sodium,Chloride,Potassium,Calcium,2
Question Bank,Nursing,What is the normal SpO2 range for a healthy adult?,80-85%,86-90%,95-100%,70-80%,2
Question Bank,Nursing,What does 'PRN' mean in medication orders?,Per Routine Needs,As Needed,Per Registered Nurse,Post Recovery Note,1
Question Bank,Nursing,Which lobe of the brain controls movement?,Frontal,Parietal,Temporal,Occipital,0
Question Bank,Nursing,A patient who cannot swallow should be given medications?,Orally,Via nasogastric tube,Rectally,Sublingually,1
Question Bank,Nursing,What is the main function of red blood cells?,Fight infection,Clot blood,Carry oxygen,Produce antibodies,2
Question Bank,Nursing,Which PPE is used to prevent droplet transmission?,Gloves,Surgical mask,N95 respirator,Eye goggles,2
Question Bank,Nursing,What does 'ROM' stand for in physiotherapy?,Rate Of Movement,Range of Motion,Rotation of Muscle,Rest on Mat,1
Question Bank,Nursing,How often should bed-ridden patients be repositioned to prevent bedsores?,Every 8 hours,Every 4 hours,Every 2 hours,Every 30 minutes,2
Question Bank,Nursing,A patient with chest pain should first be?,Given water,Placed in supine,Given aspirin,Seated upright and monitored,3
Question Bank,Nursing,Which route of injection goes into the muscle?,Intradermal,Subcutaneous,Intramuscular,Intravenous,2
Question Bank,Nursing,Which vitamin deficiency causes scurvy?,Vitamin A,Vitamin B1,Vitamin C,Vitamin D,2
Question Bank,Nursing,What is the normal adult diastolic blood pressure?,40-60 mmHg,60-80 mmHg,80-100 mmHg,100-120 mmHg,1
Question Bank,Nursing,The Glasgow Coma Scale measures?,Pain level,Consciousness level,Blood pressure,Heart rhythm,1
IQ Games,Nursing,A nurse has 8 patients and gives each 3 medications. How many medications are given total?,20,24,28,30,1
IQ Games,Nursing,"If a patient's BP was 120/80 yesterday and 130/90 today, what has happened?",Decreased,Stayed the same,Increased,Cannot tell,2
IQ Games,Nursing,Which of these does NOT belong in a first aid kit?,Bandage,Antiseptic,Scalpel,Gloves,2
IQ Games,Nursing,"A syringe has 10 mL total. If 4 mL is used, how much remains?",4 mL,6 mL,8 mL,2 mL,1
IQ Games,Nursing,"Which is the odd one out: stethoscope, thermometer, scalpel, sphygmomanometer?",Stethoscope,Thermometer,Scalpel,Sphygmomanometer,2
IQ Games,Nursing,"If medication is given every 8 hours starting at 6 AM, the next dose is at?",12 PM,2 PM,6 PM,3 PM,1
IQ Games,Nursing,Patient A weighs 60 kg and Patient B weighs 80 kg. What is their average weight?,65 kg,70 kg,75 kg,72 kg,1
IQ Games,Nursing,Which does NOT describe an emergency?,Cardiac arrest,Minor paper cut,Severe allergic reaction,Stroke,1
IQ Games,Nursing,A nurse works 12-hour shifts. How many hours per week if working 5 days?,48,56,60,72,2
IQ Games,Nursing,"If drug A costs Rs.10 and drug B costs Rs.15, what is the combined cost of 2 of each?",Rs. 40,Rs. 50,Rs. 30,Rs. 60,1
IQ Games,Nursing,Nurse : Hospital :: Teacher : ?,Classroom,School,Student,Textbook,1
IQ Games,Nursing,"Which comes next in sequence: injection, tablet, syrup, injection, tablet, ?",Injection,Tablet,Syrup,Capsule,2
IQ Games,Nursing,"Which is the largest: 1 L, 500 mL, 250 mL, 2000 mL?",1 L,500 mL,250 mL,2000 mL,3
IQ Games,Nursing,A patient takes 2 tablets twice daily. How many tablets in one week?,14,21,28,35,2
IQ Games,Nursing,Which word is most related to 'diagnosis'?,Treatment,Assessment,Surgery,Discharge,1
IQ Games,Nursing,"If body temp is 37°C and normal is 36.5°C, the patient has?",Hypothermia,Normal temperature,Low-grade fever,High fever,2
IQ Games,Nursing,"Find the odd one out: morphine, paracetamol, ibuprofen, aspirin",Morphine,Paracetamol,Ibuprofen,Aspirin,0
IQ Games,Nursing,"A ward has 20 beds, 15 are occupied. What % is occupied?",65%,70%,75%,80%,2
IQ Games,Nursing,"Which does NOT belong: pulse, respiration, temperature, height?",Pulse,Respiration,Temperature,Height,3
IQ Games,Nursing,Which is heavier: 1 kg of cotton or 1 kg of iron?,Cotton,Iron,Both equal,Cannot compare,2
IQ Games,Nursing,A drip runs at 30 drops/min. How many drops in 2 hours?,3200,3400,3600,4000,2
IQ Games,Nursing,"Which number is missing: 2, 4, 8, ?, 32",12,14,16,18,2
IQ Games,Nursing,Stethoscope listens to heart :: X-ray is used to see?,Blood cells,Bones,Nerves,Skin layers,1
IQ Games,Nursing,A clock shows 3:00. The angle between hands is?,45°,60°,90°,120°,2
IQ Games,Nursing,"Which is smallest unit: milligram, gram, kilogram, microgram?",Milligram,Gram,Kilogram,Microgram,3
IQ Games,Nursing,"If a patient is prescribed 500 mg and tablets are 250 mg each, how many tablets?",1,2,3,4,1
IQ Games,Nursing,"Which shape has the most sides: triangle, square, pentagon, hexagon?",Triangle,Square,Pentagon,Hexagon,3
IQ Games,Nursing,A patient's fluid intake is 2000 mL and output is 1800 mL. The balance is?,200 mL positive,200 mL negative,Zero,100 mL positive,0
IQ Games,Nursing,Which is NOT a vital sign?,Blood pressure,Temperature,Pulse,Hair color,3
IQ Games,Nursing,"Nurse A finishes work in 3 hours, Nurse B in 6 hours. Together they finish in?",2 hours,2.5 hours,3 hours,4 hours,0
IQ Games,Nursing,"What connects all of these: doctor, nurse, pharmacist, physiotherapist?",Work in ICU,Healthcare professionals,Prescribe medication,Work night shifts,1
IQ Games,Nursing,A 500 mL IV bag drips for 5 hours. Rate per hour is?,50 mL,80 mL,100 mL,120 mL,2
IQ Games,Nursing,Which does NOT relate to infection control?,Handwashing,Sterilization,Exercise,PPE,2
Career Questions,Nursing,What is the primary role of a registered nurse?,Diagnose diseases,Prescribe medication,Provide patient care,Perform surgery,2
Career Questions,Nursing,Which ethical principle means 'do no harm'?,Autonomy,Beneficence,Non-maleficence,Justice,2
Career Questions,Nursing,A nurse must maintain patient information as?,Public knowledge,Confidential,Shared with family,Posted on notice board,1
Career Questions,Nursing,The nursing process starts with which step?,Planning,Implementation,Assessment,Evaluation,2
Career Questions,Nursing,Which document outlines a nurse's scope of practice?,Prescription,Nursing license,Patient chart,Duty roster,1
Career Questions,Nursing,A good nurse-patient relationship is built on?,Authority,Trust and respect,Distance,Friendship,1
Career Questions,Nursing,Which skill is MOST important for a nurse?,Speed,Communication,Memorization,Multitasking,1
Career Questions,Nursing,Continuing education in nursing is important because?,It is mandatory only,It keeps knowledge updated,It increases salary,It reduces working hours,1
Career Questions,Nursing,A nursing care plan is developed based on?,Nurse's preference,Hospital policy,Patient assessment,Doctor's mood,2
Career Questions,Nursing,Professional boundaries in nursing mean?,Being close friends with patients,Maintaining appropriate professional relationships,Avoiding all patient contact,Following dress code only,1
Career Questions,Nursing,What does 'evidence-based practice' mean in nursing?,Using old methods,Using research to guide care,Following senior nurse's advice,Trying new unproven methods,1
Career Questions,Nursing,Which is a nurse's legal responsibility?,Making diagnoses,Documenting care accurately,Prescribing medications,Performing surgery,1
Career Questions,Nursing,Who is the founder of modern nursing?,Marie Curie,Florence Nightingale,Clara Barton,Dorothea Dix,1
Career Questions,Nursing,What is the purpose of a nursing handover?,Break time,Shift change communication,Administration meeting,Training session,1
Career Questions,Nursing,Critical thinking in nursing means?,Thinking fast,Analyzing situations carefully to make sound decisions,Memorizing protocols,Following orders blindly,1
Career Questions,Nursing,Which is an example of patient advocacy?,Ignoring patient concerns,Speaking up for patient rights,Following doctor only,Avoiding patient interaction,1
Career Questions,Nursing,What does 'holistic care' mean?,Only treating the disease,"Caring for physical, mental, social, and spiritual needs",Giving more medications,Speeding up discharge,1
Career Questions,Nursing,Infection prevention is part of which nursing standard?,Pharmacology,Safety and quality care,Career development,Documentation,1
Career Questions,Nursing,Which quality is essential for pediatric nursing?,Strictness,Patience and gentleness,Speed,Technical skill only,1
Career Questions,Nursing,What does 'scope of practice' refer to?,Working hours,What a nurse is legally allowed to do,Uniform requirements,Hospital location,1
Career Questions,Nursing,Which type of nurse works mainly in operating rooms?,Community nurse,Scrub nurse,School nurse,Psychiatric nurse,1
