category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,CS,What is the best definition of 'Array'?,A non-linear data structure,A Last-In-First-Out (LIFO) structure,A First-In-First-Out (FIFO) structure,A collection of items stored at contiguous memory locations,3
Question Bank,CS,What is the best definition of 'Linked List'?,A database table,A collection of items stored at contiguous memory locations,A tree-like structure,A linear collection of data elements whose order is not given by their physical placement in memory,3
Question Bank,CS,What is the best definition of 'Stack'?,A graph without cycles,A First-In-First-Out (FIFO) data structure,A Last-In-First-Out (LIFO) data structure,A relational database model,2
Question Bank,CS,What is the best definition of 'Queue'?,A Last-In-First-Out (LIFO) data structure,A First-In-First-Out (FIFO) data structure,A hierarchical data model,A network routing protocol,1
Question Bank,CS,What is the best definition of 'Binary Tree'?,A linear data structure,A tree data structure in which each node has at most two children,A collection of nodes with no edges,A graph with multiple cycles,1
Question Bank,CS,What is the best definition of 'Binary Search'?,An algorithm used only for string matching,An algorithm that checks every single item sequentially,A sorting algorithm with O(n^2) complexity,An efficient algorithm for finding an item from a sorted list of items,3
Question Bank,CS,What is the best definition of 'Quick Sort'?,A divide-and-conquer algorithm that picks an element as a pivot and partitions the given array around it,An algorithm for finding the shortest path in a graph,An encryption algorithm,A sorting algorithm that repeatedly swaps adjacent elements,0
Question Bank,CS,What is the best definition of 'Merge Sort'?,A dynamic programming algorithm for strings,An algorithm that sorts by inserting elements one by one into their correct position,A greedy algorithm,"A divide-and-conquer algorithm that divides the input array into two halves, calls itself for the two halves, and then merges the two sorted halves",3
Question Bank,CS,What is the best definition of 'Dijkstra's Algorithm'?,A fast sorting algorithm,An algorithm for finding the shortest paths between nodes in a graph,A hashing function,An algorithm to find the maximum flow in a network,1
Question Bank,CS,What is the best definition of 'Dynamic Programming'?,A network routing method,An object-oriented design pattern,An algorithmic technique for solving an optimization problem by breaking it down into simpler subproblems,A method of writing programs while they are running,2
Question Bank,CS,What is the best definition of 'Process'?,A type of network cable,A permanent storage device,A program in execution,A physical piece of hardware,2
Question Bank,CS,What is the best definition of 'Thread'?,A complete running application,A file system structure,The smallest sequence of programmed instructions that can be managed independently by a scheduler,A block of memory,2
Question Bank,CS,What is the best definition of 'Deadlock'?,A state where the CPU is idle,A situation where a set of processes are blocked because each process is holding a resource and waiting for another resource acquired by some other process,A hardware failure,A memory leak,1
Question Bank,CS,What is the best definition of 'Virtual Memory'?,A read-only memory component,A CPU cache,A physical RAM chip,A memory management capability that provides an idealized abstraction of the storage resources that are actually available,3
Question Bank,CS,What is the best definition of 'Context Switching'?,The process of storing and restoring the state of a process or thread so that execution can be resumed from the same point,Connecting to a different network,Switching between different programming languages,Changing the physical CPU,0
Question Bank,CS,What is the best definition of 'IP Address'?,A domain name,A physical hardware address embedded in a network card,A secure protocol for sending emails,A numerical label assigned to each device connected to a computer network,3
Question Bank,CS,What is the best definition of 'MAC Address'?,A routing protocol,A unique identifier assigned to a network interface controller (NIC) for use as a network address,An application layer protocol,A temporary IP address,1
Question Bank,CS,What is the best definition of 'TCP (Transmission Control Protocol)'?,A connectionless protocol with no guarantee of delivery,A protocol for web browsing only,A protocol for assigning IP addresses,A connection-oriented protocol that ensures reliable and ordered delivery of a stream of bytes,3
Question Bank,CS,What is the best definition of 'UDP (User Datagram Protocol)'?,A connection-oriented protocol that ensures reliable delivery,A secure file transfer protocol,A connectionless protocol that sends messages with a minimum of protocol mechanism,A database query language,2
Question Bank,CS,What is the best definition of 'DNS (Domain Name System)'?,A physical server that stores all internet data,A protocol for encrypting network traffic,"A hierarchical and decentralized naming system for computers, services, or other resources connected to the Internet",A routing algorithm for internal networks,2
Question Bank,CS,Which of the following statements correctly describes 'Array'?,A First-In-First-Out (FIFO) structure,A Last-In-First-Out (LIFO) structure,A collection of items stored at contiguous memory locations,A non-linear data structure,2
Question Bank,CS,Which of the following statements correctly describes 'Linked List'?,A collection of items stored at contiguous memory locations,A tree-like structure,A linear collection of data elements whose order is not given by their physical placement in memory,A database table,2
Question Bank,CS,Which of the following statements correctly describes 'Stack'?,A First-In-First-Out (FIFO) data structure,A relational database model,A Last-In-First-Out (LIFO) data structure,A graph without cycles,2
Question Bank,CS,Which of the following statements correctly describes 'Queue'?,A Last-In-First-Out (LIFO) data structure,A network routing protocol,A First-In-First-Out (FIFO) data structure,A hierarchical data model,2
Question Bank,CS,Which of the following statements correctly describes 'Binary Tree'?,A graph with multiple cycles,A collection of nodes with no edges,A linear data structure,A tree data structure in which each node has at most two children,3
