category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,BSH,What does BSH stand for in the context of this faculty?,Basic Science Humanities,Bachelor of Social Humanities,Biological Science History,Business Science Hub,0
Question Bank,BSH,What is critical thinking?,Following instructions blindly,Analyzing and evaluating information objectively,Memorizing facts,Avoiding questions,1
Question Bank,BSH,What is the scientific method's first step?,Conclusion,Observation and question,Experiment,Analysis,1
Question Bank,BSH,What is ethics in science?,Not important,Moral principles governing scientific conduct,A type of chemical,A mathematical formula,1
Question Bank,BSH,What is a hypothesis?,A proven fact,A testable prediction,A random guess,A final answer,1
Question Bank,BSH,What is the importance of statistics in science?,No importance,Helps analyze and interpret data,Only for mathematicians,Only for computers,1
Question Bank,BSH,What is a literature review?,Reading novels for fun,Comprehensive survey of existing research on a topic,A book club,A writing exercise,1
Question Bank,BSH,What does interdisciplinary mean?,Single subject focus,Combining multiple fields of study,Avoiding other subjects,Only studying one thing,1
Question Bank,BSH,What is the purpose of academic writing?,Entertainment,Communicating research findings clearly,Social media posts,Personal diary,1
Question Bank,BSH,What is a peer-reviewed journal?,A social media page,A publication where experts evaluate articles before publishing,A personal blog,A newspaper,1
IQ Games,BSH,If a study has 200 participants and 60% are female how many are male?,60,80,100,120,1
IQ Games,BSH,What comes next in the pattern: A1 B2 C3 D4 ?,E5,F6,D5,E4,0
IQ Games,BSH,If the mean of 5 numbers is 20 what is their sum?,80,90,100,120,2
IQ Games,BSH,A survey shows 3 out of 4 students prefer tea. What percentage is that?,25%,50%,75%,80%,2
IQ Games,BSH,How many decades in a century?,5,8,10,20,2
IQ Games,BSH,If a research paper has 8000 words and you read 400 words/min how long to read?,10 min,15 min,20 min,25 min,2
IQ Games,BSH,What is the median of: 3 7 8 12 15?,7,8,10,12,1
IQ Games,BSH,If a library has 5000 books and 20% are science books how many science books?,500,1000,1500,2000,1
IQ Games,BSH,What is 2^8?,64,128,256,512,2
IQ Games,BSH,A researcher works 8 hours/day for 5 days. How many hours in 4 weeks?,120,140,160,200,2
Career Questions,BSH,Which skill is most valued in science and humanities careers?,Speed eating,Research and analytical writing,Skateboarding,Video gaming,1
Career Questions,BSH,What is the role of a research assistant?,Play games,Support faculty in research projects,Cook meals,Drive cars,1
Career Questions,BSH,Which career path combines science and communication?,Mining,Science journalism and communication,Plumbing,Carpentry,1
Career Questions,BSH,What should BSH students emphasize in applications?,Gaming stats,Research experience and analytical skills,Social media followers,Number of pets,1
Career Questions,BSH,What is academic integrity?,Cheating,Honesty and ethical conduct in academic work,Copying others,Plagiarism,1
Career Questions,BSH,Where can BSH graduates work?,Only fast food,Education and research and policy and NGOs,Only retail,Only construction,1
Career Questions,BSH,What is a thesis?,A short text message,A substantial research document for a degree,A recipe,A shopping list,1
Career Questions,BSH,Which tool helps organize research references?,Instagram,Citation management software like Zotero,Snapchat,TikTok,1
Career Questions,BSH,What does a policy analyst do?,Cook food,Analyze policies and recommend improvements,Fix plumbing,Design clothes,1
Career Questions,BSH,What is the benefit of interdisciplinary skills?,No benefit,Broader career opportunities and problem-solving ability,Only confusion,Wasted time,1
Question Bank,BSH,What is cognitive dissonance?,Mental discomfort from holding conflicting beliefs or values,A learning disability,A type of memory loss,A social anxiety disorder,0
Question Bank,BSH,What does Maslow's hierarchy of needs start with at the base?,Physiological needs,Safety needs,Self-actualisation,Love and belonging,0
Question Bank,BSH,What is empiricism in philosophy?,Knowledge comes from sensory experience,Knowledge is innate,Logic alone creates knowledge,Intuition is the only source of knowledge,0
Question Bank,BSH,What is the difference between qualitative and quantitative research?,Qualitative explores meaning; quantitative measures and counts,They are the same,Quantitative is about meaning; qualitative is numerical,Qualitative uses statistics; quantitative uses interviews,0
Question Bank,BSH,What is the Stanford Prison Experiment known for demonstrating?,How situational factors can influence behaviour dramatically,That prisoners are naturally violent,That guards are always authoritarian,That prisons are necessary,0
Question Bank,BSH,What is cultural relativism?,The view that cultures should be understood on their own terms,The belief that one culture is superior,The study of ancient cultures,Comparing cultures to find a universal standard,0
Question Bank,BSH,What is confirmation bias?,Tendency to seek information that confirms existing beliefs,Tendency to doubt all information,Tendency to remember only negative events,Tendency to agree with authority,0
Question Bank,BSH,What is Pavlovian conditioning also known as?,Classical conditioning,Operant conditioning,Instrumental conditioning,Cognitive conditioning,0
Question Bank,BSH,What is social constructionism?,The idea that social phenomena are created through human interaction,A type of architecture,A political ideology,A biological theory,0
Question Bank,BSH,What does sociology study?,Social behaviour institutions and structures,Individual psychology,Chemical reactions in society,Political systems only,0
Question Bank,BSH,What is the Milgram experiment famous for?,People's obedience to authority even when causing harm,Memory recall under stress,Bystander effect,Group decision making,0
Question Bank,BSH,What is deductive reasoning?,Drawing specific conclusions from general principles,Drawing general conclusions from specific examples,Intuitive decision-making,Random guessing,0
Question Bank,BSH,What is anthropology?,Study of human societies cultures and their development,Study of ancient languages,Study of economic systems,Study of political structures,0
Question Bank,BSH,What is the bystander effect?,People less likely to help when others are present,People help more in groups,People help more when alone,People ignore strangers always,0
Question Bank,BSH,What is Freud's id in psychoanalytic theory?,Primitive instinctive part of the mind driven by pleasure,Rational part of the mind,Moral conscience of the mind,Long-term memory system,0
Question Bank,BSH,What is a hypothesis in research?,A testable prediction or proposed explanation for a phenomenon,A proven fact,A research conclusion,A statistical method,0
Question Bank,BSH,What is ethnocentrism?,Judging other cultures by the standards of one's own culture,Appreciation of cultural diversity,Study of ethnic groups,Cultural exchange,0
Question Bank,BSH,What is operant conditioning associated with?,B.F. Skinner and reinforcement/punishment shaping behaviour,Pavlov and conditioned reflexes,Freud and unconscious drives,Maslow and human needs,0
Question Bank,BSH,What is the placebo effect?,Improvement in condition due to belief in treatment rather than treatment itself,Effect of a real drug,Negative side effect of medicine,Psychological illness,0
Question Bank,BSH,What is a paradigm shift?,Fundamental change in the basic concepts of a scientific discipline,Minor update to a theory,New research methodology,Statistical finding,0
