category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Architecture,What does CAD stand for in architecture? ( 1),Computer Aided Design,Creative Art Drawing,Civil Analysis Data,Construction Aid Device,0
Question Bank,Architecture,Which material is commonly used for structural frameworks? ( 2),Glass,Steel,Plastic,Rubber,1
Question Bank,Architecture,What is the purpose of a blueprint? ( 3),Decoration,Construction planning,Painting guide,Marketing,1
Question Bank,Architecture,Which scale is commonly used in architectural drawings? ( 4),1:100,1:1,10:1,100:1,0
Question Bank,Architecture,What is a load-bearing wall? ( 5),Decorative wall,Wall that carries weight,Glass wall,Temporary wall,1
Question Bank,Architecture,Which software is widely used by architects? ( 6),Photoshop,AutoCAD,Excel,Word,1
Question Bank,Architecture,What is sustainability in architecture? ( 7),Using bright colors,Eco-friendly design,Tall buildings,Cheap materials,1
Question Bank,Architecture,Which element provides vertical circulation? ( 8),Door,Window,Staircase,Wall,2
Question Bank,Architecture,What is a foundation in construction? ( 9),Roof,Base structure,Window frame,Interior design,1
Question Bank,Architecture,What does HVAC stand for? ( 10),Heating Ventilation Air Conditioning,High Value Area Control,Heat Volume Air Control,None,0
Question Bank,Architecture,What does CAD stand for in architecture? ( 11),Computer Aided Design,Creative Art Drawing,Civil Analysis Data,Construction Aid Device,0
Question Bank,Architecture,Which material is commonly used for structural frameworks? ( 12),Glass,Steel,Plastic,Rubber,1
Question Bank,Architecture,What is the purpose of a blueprint? ( 13),Decoration,Construction planning,Painting guide,Marketing,1
Question Bank,Architecture,Which scale is commonly used in architectural drawings? ( 14),1:100,1:1,10:1,100:1,0
Question Bank,Architecture,What is a load-bearing wall? ( 15),Decorative wall,Wall that carries weight,Glass wall,Temporary wall,1
Question Bank,Architecture,Which software is widely used by architects? ( 16),Photoshop,AutoCAD,Excel,Word,1
Question Bank,Architecture,What is sustainability in architecture? ( 17),Using bright colors,Eco-friendly design,Tall buildings,Cheap materials,1
Question Bank,Architecture,Which element provides vertical circulation? ( 18),Door,Window,Staircase,Wall,2
Question Bank,Architecture,What is a foundation in construction? ( 19),Roof,Base structure,Window frame,Interior design,1
Question Bank,Architecture,What does HVAC stand for? ( 20),Heating Ventilation Air Conditioning,High Value Area Control,Heat Volume Air Control,None,0
Question Bank,Architecture,What does CAD stand for in architecture? ( 21),Computer Aided Design,Creative Art Drawing,Civil Analysis Data,Construction Aid Device,0
Question Bank,Architecture,Which material is commonly used for structural frameworks? ( 22),Glass,Steel,Plastic,Rubber,1
Question Bank,Architecture,What is the purpose of a blueprint? ( 23),Decoration,Construction planning,Painting guide,Marketing,1
Question Bank,Architecture,Which scale is commonly used in architectural drawings? ( 24),1:100,1:1,10:1,100:1,0
Question Bank,Architecture,What is a load-bearing wall? ( 25),Decorative wall,Wall that carries weight,Glass wall,Temporary wall,1
Question Bank,Architecture,Which software is widely used by architects? ( 26),Photoshop,AutoCAD,Excel,Word,1
Question Bank,Architecture,What is sustainability in architecture? ( 27),Using bright colors,Eco-friendly design,Tall buildings,Cheap materials,1
Question Bank,Architecture,Which element provides vertical circulation? ( 28),Door,Window,Staircase,Wall,2
Question Bank,Architecture,What is a foundation in construction? ( 29),Roof,Base structure,Window frame,Interior design,1
Question Bank,Architecture,What does HVAC stand for? ( 30),Heating Ventilation Air Conditioning,High Value Area Control,Heat Volume Air Control,None,0
Question Bank,Architecture,What does CAD stand for in architecture? ( 31),Computer Aided Design,Creative Art Drawing,Civil Analysis Data,Construction Aid Device,0
Question Bank,Architecture,Which material is commonly used for structural frameworks? ( 32),Glass,Steel,Plastic,Rubber,1
Question Bank,Architecture,What is the purpose of a blueprint? ( 33),Decoration,Construction planning,Painting guide,Marketing,1
Question Bank,Architecture,Which scale is commonly used in architectural drawings? ( 34),1:100,1:1,10:1,100:1,0
Question Bank,Architecture,What is a load-bearing wall? ( 35),Decorative wall,Wall that carries weight,Glass wall,Temporary wall,1
Question Bank,Architecture,Which software is widely used by architects? ( 36),Photoshop,AutoCAD,Excel,Word,1
Question Bank,Architecture,What is sustainability in architecture? ( 37),Using bright colors,Eco-friendly design,Tall buildings,Cheap materials,1
Question Bank,Architecture,Which element provides vertical circulation? ( 38),Door,Window,Staircase,Wall,2
Question Bank,Architecture,What is a foundation in construction? ( 39),Roof,Base structure,Window frame,Interior design,1
Question Bank,Architecture,What does HVAC stand for? ( 40),Heating Ventilation Air Conditioning,High Value Area Control,Heat Volume Air Control,None,0
Question Bank,Architecture,What does CAD stand for in architecture? ( 41),Computer Aided Design,Creative Art Drawing,Civil Analysis Data,Construction Aid Device,0
Question Bank,Architecture,Which material is commonly used for structural frameworks? ( 42),Glass,Steel,Plastic,Rubber,1
Question Bank,Architecture,What is the purpose of a blueprint? ( 43),Decoration,Construction planning,Painting guide,Marketing,1
Question Bank,Architecture,Which scale is commonly used in architectural drawings? ( 44),1:100,1:1,10:1,100:1,0
Question Bank,Architecture,What is a load-bearing wall? ( 45),Decorative wall,Wall that carries weight,Glass wall,Temporary wall,1
Question Bank,Architecture,Which software is widely used by architects? ( 46),Photoshop,AutoCAD,Excel,Word,1
Question Bank,Architecture,What is sustainability in architecture? ( 47),Using bright colors,Eco-friendly design,Tall buildings,Cheap materials,1
Question Bank,Architecture,Which element provides vertical circulation? ( 48),Door,Window,Staircase,Wall,2
Question Bank,Architecture,What is a foundation in construction? ( 49),Roof,Base structure,Window frame,Interior design,1
Question Bank,Architecture,What does HVAC stand for? ( 50),Heating Ventilation Air Conditioning,High Value Area Control,Heat Volume Air Control,None,0
Question Bank,Architecture,What does CAD stand for in architecture? ( 51),Computer Aided Design,Creative Art Drawing,Civil Analysis Data,Construction Aid Device,0
Question Bank,Architecture,Which material is commonly used for structural frameworks? ( 52),Glass,Steel,Plastic,Rubber,1
Question Bank,Architecture,What is the purpose of a blueprint? ( 53),Decoration,Construction planning,Painting guide,Marketing,1
Question Bank,Architecture,Which scale is commonly used in architectural drawings? ( 54),1:100,1:1,10:1,100:1,0
Question Bank,Architecture,What is a load-bearing wall? ( 55),Decorative wall,Wall that carries weight,Glass wall,Temporary wall,1
Question Bank,Architecture,Which software is widely used by architects? ( 56),Photoshop,AutoCAD,Excel,Word,1
Question Bank,Architecture,What is sustainability in architecture? ( 57),Using bright colors,Eco-friendly design,Tall buildings,Cheap materials,1
Question Bank,Architecture,Which element provides vertical circulation? ( 58),Door,Window,Staircase,Wall,2
Question Bank,Architecture,What is a foundation in construction? ( 59),Roof,Base structure,Window frame,Interior design,1
Question Bank,Architecture,What does HVAC stand for? ( 60),Heating Ventilation Air Conditioning,High Value Area Control,Heat Volume Air Control,None,0
Question Bank,Architecture,What does CAD stand for in architecture? ( 61),Computer Aided Design,Creative Art Drawing,Civil Analysis Data,Construction Aid Device,0
Question Bank,Architecture,Which material is commonly used for structural frameworks? ( 62),Glass,Steel,Plastic,Rubber,1
Question Bank,Architecture,What is the purpose of a blueprint? ( 63),Decoration,Construction planning,Painting guide,Marketing,1
Question Bank,Architecture,Which scale is commonly used in architectural drawings? ( 64),1:100,1:1,10:1,100:1,0
Question Bank,Architecture,What is a load-bearing wall? ( 65),Decorative wall,Wall that carries weight,Glass wall,Temporary wall,1
Question Bank,Architecture,Which software is widely used by architects? ( 66),Photoshop,AutoCAD,Excel,Word,1
Question Bank,Architecture,What is sustainability in architecture? ( 67),Using bright colors,Eco-friendly design,Tall buildings,Cheap materials,1
Question Bank,Architecture,Which element provides vertical circulation? ( 68),Door,Window,Staircase,Wall,2
Question Bank,Architecture,What is a foundation in construction? ( 69),Roof,Base structure,Window frame,Interior design,1
Question Bank,Architecture,What does HVAC stand for? ( 70),Heating Ventilation Air Conditioning,High Value Area Control,Heat Volume Air Control,None,0
Question Bank,Architecture,What does CAD stand for in architecture? ( 71),Computer Aided Design,Creative Art Drawing,Civil Analysis Data,Construction Aid Device,0
Question Bank,Architecture,Which material is commonly used for structural frameworks? ( 72),Glass,Steel,Plastic,Rubber,1
Question Bank,Architecture,What is the purpose of a blueprint? ( 73),Decoration,Construction planning,Painting guide,Marketing,1
Question Bank,Architecture,Which scale is commonly used in architectural drawings? ( 74),1:100,1:1,10:1,100:1,0
Question Bank,Architecture,What is a load-bearing wall? ( 75),Decorative wall,Wall that carries weight,Glass wall,Temporary wall,1
Question Bank,Architecture,Which software is widely used by architects? ( 76),Photoshop,AutoCAD,Excel,Word,1
Question Bank,Architecture,What is sustainability in architecture? ( 77),Using bright colors,Eco-friendly design,Tall buildings,Cheap materials,1
Question Bank,Architecture,Which element provides vertical circulation? ( 78),Door,Window,Staircase,Wall,2
Question Bank,Architecture,What is a foundation in construction? ( 79),Roof,Base structure,Window frame,Interior design,1
Question Bank,Architecture,What does HVAC stand for? ( 80),Heating Ventilation Air Conditioning,High Value Area Control,Heat Volume Air Control,None,0
IQ Games,Architecture,"If a building has 2 floors and each floor has 4 rooms, total rooms?",8,10,6,12,0
IQ Games,Architecture,"If a building has 3 floors and each floor has 4 rooms, total rooms?",12,14,10,16,0
IQ Games,Architecture,"If a building has 4 floors and each floor has 4 rooms, total rooms?",16,18,14,20,0
IQ Games,Architecture,"If a building has 5 floors and each floor has 4 rooms, total rooms?",20,22,18,24,0
IQ Games,Architecture,"If a building has 6 floors and each floor has 4 rooms, total rooms?",24,26,22,28,0
IQ Games,Architecture,"If a building has 7 floors and each floor has 4 rooms, total rooms?",28,30,26,32,0
IQ Games,Architecture,"If a building has 8 floors and each floor has 4 rooms, total rooms?",32,34,30,36,0
IQ Games,Architecture,"If a building has 9 floors and each floor has 4 rooms, total rooms?",36,38,34,40,0
IQ Games,Architecture,"If a building has 10 floors and each floor has 4 rooms, total rooms?",40,42,38,44,0
IQ Games,Architecture,"If a building has 11 floors and each floor has 4 rooms, total rooms?",44,46,42,48,0
IQ Games,Architecture,"If a building has 12 floors and each floor has 4 rooms, total rooms?",48,50,46,52,0
IQ Games,Architecture,"If a building has 13 floors and each floor has 4 rooms, total rooms?",52,54,50,56,0
IQ Games,Architecture,"If a building has 14 floors and each floor has 4 rooms, total rooms?",56,58,54,60,0
IQ Games,Architecture,"If a building has 15 floors and each floor has 4 rooms, total rooms?",60,62,58,64,0
IQ Games,Architecture,"If a building has 16 floors and each floor has 4 rooms, total rooms?",64,66,62,68,0
IQ Games,Architecture,"If a building has 17 floors and each floor has 4 rooms, total rooms?",68,70,66,72,0
IQ Games,Architecture,"If a building has 18 floors and each floor has 4 rooms, total rooms?",72,74,70,76,0
IQ Games,Architecture,"If a building has 19 floors and each floor has 4 rooms, total rooms?",76,78,74,80,0
IQ Games,Architecture,"If a building has 20 floors and each floor has 4 rooms, total rooms?",80,82,78,84,0
IQ Games,Architecture,"If a building has 21 floors and each floor has 4 rooms, total rooms?",84,86,82,88,0
IQ Games,Architecture,"If a building has 22 floors and each floor has 4 rooms, total rooms?",88,90,86,92,0
IQ Games,Architecture,"If a building has 23 floors and each floor has 4 rooms, total rooms?",92,94,90,96,0
IQ Games,Architecture,"If a building has 24 floors and each floor has 4 rooms, total rooms?",96,98,94,100,0
IQ Games,Architecture,"If a building has 25 floors and each floor has 4 rooms, total rooms?",100,102,98,104,0
IQ Games,Architecture,"If a building has 26 floors and each floor has 4 rooms, total rooms?",104,106,102,108,0
IQ Games,Architecture,"If a building has 27 floors and each floor has 4 rooms, total rooms?",108,110,106,112,0
IQ Games,Architecture,"If a building has 28 floors and each floor has 4 rooms, total rooms?",112,114,110,116,0
IQ Games,Architecture,"If a building has 29 floors and each floor has 4 rooms, total rooms?",116,118,114,120,0
IQ Games,Architecture,"If a building has 30 floors and each floor has 4 rooms, total rooms?",120,122,118,124,0
IQ Games,Architecture,"If a building has 31 floors and each floor has 4 rooms, total rooms?",124,126,122,128,0
IQ Games,Architecture,"If a building has 32 floors and each floor has 4 rooms, total rooms?",128,130,126,132,0
IQ Games,Architecture,"If a building has 33 floors and each floor has 4 rooms, total rooms?",132,134,130,136,0
IQ Games,Architecture,"If a building has 34 floors and each floor has 4 rooms, total rooms?",136,138,134,140,0
IQ Games,Architecture,"If a building has 35 floors and each floor has 4 rooms, total rooms?",140,142,138,144,0
