category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Allied Health Sciences,What is the primary function of red blood cells? ( 1),Transport oxygen,Fight infection,Clot blood,Produce hormones,0
Question Bank,Allied Health Sciences,Which organ filters blood in the human body? ( 2),Heart,Liver,Kidney,Lungs,2
Question Bank,Allied Health Sciences,What is the normal body temperature in Celsius? ( 3),35°C,36-37°C,38°C,39°C,1
Question Bank,Allied Health Sciences,Which vitamin is produced when skin is exposed to sunlight? ( 4),Vitamin A,Vitamin B12,Vitamin C,Vitamin D,3
Question Bank,Allied Health Sciences,What is the unit of blood pressure? ( 5),mmHg,cmHg,kg,Pa,0
Question Bank,Allied Health Sciences,Which system controls body movement? ( 6),Digestive,Nervous,Respiratory,Circulatory,1
Question Bank,Allied Health Sciences,What is the function of platelets? ( 7),Oxygen transport,Clotting,Digestion,Immunity,1
Question Bank,Allied Health Sciences,Which organ is responsible for detoxification? ( 8),Heart,Liver,Brain,Kidney,1
Question Bank,Allied Health Sciences,What is the basic unit of life? ( 9),Cell,Tissue,Organ,Atom,0
Question Bank,Allied Health Sciences,Which gas do humans inhale for respiration? ( 10),CO2,O2,N2,H2,1
Question Bank,Allied Health Sciences,What is the primary function of red blood cells? ( 11),Transport oxygen,Fight infection,Clot blood,Produce hormones,0
Question Bank,Allied Health Sciences,Which organ filters blood in the human body? ( 12),Heart,Liver,Kidney,Lungs,2
Question Bank,Allied Health Sciences,What is the normal body temperature in Celsius? ( 13),35°C,36-37°C,38°C,39°C,1
Question Bank,Allied Health Sciences,Which vitamin is produced when skin is exposed to sunlight? ( 14),Vitamin A,Vitamin B12,Vitamin C,Vitamin D,3
Question Bank,Allied Health Sciences,What is the unit of blood pressure? ( 15),mmHg,cmHg,kg,Pa,0
Question Bank,Allied Health Sciences,Which system controls body movement? ( 16),Digestive,Nervous,Respiratory,Circulatory,1
Question Bank,Allied Health Sciences,What is the function of platelets? ( 17),Oxygen transport,Clotting,Digestion,Immunity,1
Question Bank,Allied Health Sciences,Which organ is responsible for detoxification? ( 18),Heart,Liver,Brain,Kidney,1
Question Bank,Allied Health Sciences,What is the basic unit of life? ( 19),Cell,Tissue,Organ,Atom,0
Question Bank,Allied Health Sciences,Which gas do humans inhale for respiration? ( 20),CO2,O2,N2,H2,1
Question Bank,Allied Health Sciences,What is the primary function of red blood cells? ( 21),Transport oxygen,Fight infection,Clot blood,Produce hormones,0
