category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Management of Science,What is the scientific method?,A cooking technique,A systematic approach to inquiry and experimentation,A musical style,A sports technique,1
Question Bank,Management of Science,What does KPI stand for?,Key Performance Indicator,Knowledge Process Integration,Kinetic Power Index,Known Protocol Interface,0
Question Bank,Management of Science,What is project management?,Cooking management,Planning and organizing resources to complete a project,Garden management,Music management,1
Question Bank,Management of Science,What is the purpose of a SWOT analysis?,Measure temperature,Identify strengths weaknesses opportunities and threats,Calculate salary,Test software,1
Question Bank,Management of Science,What does ROI stand for?,Return on Investment,Rate of Inflation,Record of Income,Ratio of Interest,0
Question Bank,Management of Science,What is a stakeholder?,A fence post,Any person or group affected by a project,A type of steak,A cooking utensil,1
Question Bank,Management of Science,What is the difference between leadership and management?,They are the same,Leadership inspires while management organizes,Leadership is inferior,Management is always better,1
Question Bank,Management of Science,What is a Gantt chart used for?,Cooking recipes,Scheduling project tasks over time,Drawing art,Playing music,1
Question Bank,Management of Science,What does TQM stand for?,Total Quality Management,Technical Query Method,Time and Quantity Measurement,Tactical Quality Monitoring,0
Question Bank,Management of Science,What is a business model canvas?,A painting,A strategic tool for business planning,A type of fabric,A cooking ingredient,1
IQ Games,Management of Science,If a project has 5 tasks each taking 3 days (sequential) what is the total duration?,8,15,20,25,1
IQ Games,Management of Science,A budget is $100000. If 30% goes to salaries how much is that?,3000,10000,30000,50000,2
IQ Games,Management of Science,What comes next: 1 4 9 16 25 ?,30,36,49,64,1
IQ Games,Management of Science,If profit margin is 20% on $50000 revenue what is the profit?,5000,10000,15000,20000,1
IQ Games,Management of Science,A team of 10 finishes a task in 6 days. How many days for 15 people?,4,5,8,9,0
IQ Games,Management of Science,What is 15% of 400?,40,50,60,70,2
IQ Games,Management of Science,If revenue grows 10% annually from $100000 what is it after 2 years?,110000,120000,121000,125000,2
IQ Games,Management of Science,How many quarters in $5.00?,10,15,20,25,2
IQ Games,Management of Science,A factory produces 500 units/day. How many in a 5-day work week?,1500,2000,2500,3000,2
IQ Games,Management of Science,If 3 out of 50 products are defective what is the defect rate?,3%,5%,6%,10%,2
Career Questions,Management of Science,Which skill is essential for science managers?,Cooking,Strategic thinking and data analysis,Knitting,Pottery,1
Career Questions,Management of Science,What does a technology transfer officer do?,Transfer furniture,Commercialize research innovations,Transfer files,Move offices,1
Career Questions,Management of Science,Which sector values management of science graduates?,Fast food,R&D organizations and tech companies,Laundry,Barbershops,1
Career Questions,Management of Science,What is innovation management?,Managing a kitchen,Systematically managing the innovation process,Managing sports,Managing gardens,1
Career Questions,Management of Science,What should MoS graduates highlight in resumes?,Gaming achievements,Analytical and leadership skills,Movie preferences,Food preferences,1
Career Questions,Management of Science,What is intellectual property?,Physical real estate,Creations of the mind protected by law,Office supplies,Furniture,1
Career Questions,Management of Science,What does a research coordinator do?,Coordinate parties,Manage research projects and ensure compliance,Coordinate sports events,Coordinate travel,1
Career Questions,Management of Science,Which tool is used for data-driven decision making?,Paintbrush,Business intelligence software,Hammer,Scissors,1
Career Questions,Management of Science,What is a feasibility study?,A type of exam,Analysis of the practicality of a proposed project,A fitness test,A cooking test,1
Career Questions,Management of Science,What is the lean startup methodology?,A diet plan,Build-measure-learn approach to business,A fitness routine,A cooking method,1
Question Bank,Management of Science,What does SWOT stand for?,Strengths Weaknesses Opportunities Threats,Strategy Work Output Timing,Sales Workforce Organisation Technology,System Work Operation Target,0
Question Bank,Management of Science,What is operations research?,Mathematical approach to optimising complex decisions,Study of business operations,Management of production staff,Analysis of financial data,0
Question Bank,Management of Science,What is linear programming used for?,Optimise an objective function subject to constraints,Predict stock prices,Manage human resources,Analyse time series data,0
Question Bank,Management of Science,What does KPI stand for?,Key Performance Indicator,Key Process Integration,Known Performance Index,Knowledge Process Indicator,0
Question Bank,Management of Science,What is a Gantt chart used for?,Visualise project schedule and task timelines,Track financial performance,Analyse market data,Measure employee productivity,0
Question Bank,Management of Science,What is the difference between efficiency and effectiveness?,Efficiency is doing things right; effectiveness is doing the right things,They mean the same thing,Efficiency relates to cost; effectiveness to time,Effectiveness is internal; efficiency is external,0
Question Bank,Management of Science,What is game theory?,Study of strategic interactions between rational decision-makers,Theory about entertainment,Study of market games,Analysis of company competition only,0
Question Bank,Management of Science,What is Monte Carlo simulation?,Using random sampling to model uncertainty in complex systems,A casino strategy,A financial trading method,A physical simulation only,0
Question Bank,Management of Science,What does ERP stand for?,Enterprise Resource Planning,Employee Relations Program,External Reporting Platform,Engineering Research Program,0
Question Bank,Management of Science,What is queuing theory?,Mathematical study of waiting lines and service systems,Study of customer complaints,Analysis of production queues only,Theory of database queries,0
Question Bank,Management of Science,What is the critical mass in business?,Minimum size needed for a business to sustain itself,Maximum number of employees,Target customer number,Peak revenue level,0
Question Bank,Management of Science,What is supply chain management?,Overseeing flow of goods from supplier to customer,Managing company finances,Hiring and training employees,Marketing products to customers,0
Question Bank,Management of Science,What does ROI stand for?,Return on Investment,Rate of Inventory,Revenue and Operating Income,Risk of Insolvency,0
Question Bank,Management of Science,What is a balanced scorecard?,Performance management framework considering financial and non-financial metrics,A financial statement,A marketing plan,A project timeline,0
Question Bank,Management of Science,What is lean management?,Methodology focused on eliminating waste and improving value,Managing a lean workforce,Reducing employee benefits,Cutting product features,0
Question Bank,Management of Science,What is a decision tree?,Diagram representing decisions and their possible consequences,A type of organisational chart,A project schedule,A financial spreadsheet,0
Question Bank,Management of Science,What is Six Sigma?,Quality management approach aiming to reduce defects to 3.4 per million,A statistical software,A type of supply chain model,A financial ratio,0
Question Bank,Management of Science,What is the purpose of forecasting in management?,Estimate future demand to guide planning and decision-making,Record past sales only,Manage current inventory,Track employee performance,0
Question Bank,Management of Science,What is a feasibility study?,Assessment of the practicality and viability of a proposed project,A financial audit,A market survey only,A legal compliance check,0
Question Bank,Management of Science,What does CRM stand for?,Customer Relationship Management,Corporate Risk Management,Cost Reduction Method,Central Resource Management,0
Question Bank,Management of Science,What is inventory management?,Controlling the ordering storage and use of stock,Managing customer records,Tracking employee hours,Planning marketing campaigns,0
Question Bank,Management of Science,What is total quality management (TQM)?,Organisation-wide approach to continuous quality improvement,Quality control of final products only,Management of quality department,Supplier quality certification,0
Question Bank,Management of Science,What is benchmarking?,Comparing performance against industry best practices,Setting internal targets only,Measuring employee satisfaction,Tracking competitor prices,0
Question Bank,Management of Science,What is the principal-agent problem?,Conflict of interest when an agent acts on behalf of a principal,A legal contract dispute,An HR recruitment issue,A production scheduling problem,0
Question Bank,Management of Science,What does agile methodology emphasise?,Iterative development and flexibility to change,Strict planning upfront,Sequential phases,Minimising team collaboration,0
Question Bank,Management of Science,What is a stakeholder?,Any party with an interest in or affected by an organisation's activities,Only company shareholders,Only employees,Only customers,0
Question Bank,Management of Science,What is the purpose of a break-even analysis?,Determine the point where revenue equals total costs,Maximise profits,Minimise production costs,Calculate tax liability,0
Question Bank,Management of Science,What is risk management?,Identifying assessing and mitigating potential threats to an organisation,Avoiding all risks,Insuring against financial loss only,Managing customer complaints,0
Question Bank,Management of Science,What is the difference between fixed and variable costs?,Fixed costs don't change with output; variable costs do,Both change with output,Fixed costs are higher than variable,Variable costs are planned costs,0
Question Bank,Management of Science,What is a strategic plan?,Long-term plan defining goals and how to achieve them,Annual budget,Marketing campaign,Operational procedure,0
Question Bank,Management of Science,What is outsourcing?,Contracting a function to an external provider,Hiring more internal staff,Expanding into new markets,Reducing product range,0
Question Bank,Management of Science,What does B2B mean?,Business to Business transactions,Best to Best pricing,Back to Basics strategy,Brand to Brand marketing,0
