category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Architecture,Who designed the Sydney Opera House?,Frank Lloyd Wright,Jørn Utzon,Le Corbusier,Zaha Hadid,1
Question Bank,Architecture,What is a cantilever?,A type of window,A projecting beam fixed at one end,A roof tile,A column type,1
Question Bank,Architecture,What does LEED stand for?,Leadership in Energy and Environmental Design,Low Energy Electric Design,Light Efficient Environmental Development,Linked Energy and Environmental Device,0
Question Bank,Architecture,Which architectural style features flying buttresses?,Modern,Gothic,Art Deco,Minimalist,1
Question Bank,Architecture,What is the golden ratio approximately?,1.414,1.618,2.718,3.14,1
Question Bank,Architecture,What is a facade?,The interior layout,The front face of a building,The foundation,The roof structure,1
Question Bank,Architecture,Which software is widely used for architectural rendering?,Excel,Revit,Word,PowerPoint,1
Question Bank,Architecture,What is the purpose of a site analysis in architecture?,Calculate taxes,Understand environmental and contextual factors,Design furniture,Write contracts,1
Question Bank,Architecture,What is an atrium in architecture?,A basement,A large open interior space,A type of wall,An electrical room,1
Question Bank,Architecture,Who designed the Guggenheim Museum in New York?,Frank Gehry,Frank Lloyd Wright,Le Corbusier,Zaha Hadid,1
IQ Games,Architecture,If a room is 5m x 4m what is its area?,9m²,20m²,15m²,25m²,1
IQ Games,Architecture,A building has 3 floors each 3.5m high. What is the total height?,9m,10.5m,7m,14m,1
IQ Games,Architecture,How many degrees in a straight angle?,90,120,180,360,2
IQ Games,Architecture,If a scale drawing is 1:100 and a wall is 5cm on paper how long is it really?,5m,50m,500m,0.5m,0
IQ Games,Architecture,What is the perimeter of a 10m x 8m rectangle?,80m,36m,18m,40m,1
IQ Games,Architecture,A circle has radius 7m. What is its approximate area?,44m²,154m²,22m²,100m²,1
IQ Games,Architecture,If you cut a cube with one straight cut what is the maximum faces on the cross-section?,3,4,6,8,2
IQ Games,Architecture,How many edges does a cube have?,6,8,10,12,3
IQ Games,Architecture,What is 3/4 expressed as a percentage?,25%,50%,75%,80%,2
IQ Games,Architecture,A room needs 2 coats of paint. If one coat uses 5L how much for 3 identical rooms?,15L,20L,25L,30L,3
Career Questions,Architecture,Which portfolio element is most important for architecture jobs?,Selfies,Design projects showing process and outcome,Food photos,Travel blogs,1
Career Questions,Architecture,What is the most important phase of an architectural project?,Decoration,Schematic design and planning,Painting walls,Choosing curtains,1
Career Questions,Architecture,Which software skill is essential for architects?,Instagram filters,AutoCAD and BIM,TikTok editing,Gaming,1
Career Questions,Architecture,What does an urban planner do?,Design clothes,Plan city layouts and land use,Cook meals,Write music,1
Career Questions,Architecture,Which certificate is valuable for sustainable architecture?,LEED AP,CCNA,AWS,PMP,0
Career Questions,Architecture,What is the role of a project architect?,Social media management,Overseeing design through construction,Selling insurance,Teaching cooking,1
Career Questions,Architecture,What should architecture students focus on in internships?,Social media,Learning construction documentation,Shopping,Gaming,1
Career Questions,Architecture,What is the AIA?,American Institute of Architects,Association of Internet Access,Alliance of Industrial Analysts,Academy of Interior Arts,0
Career Questions,Architecture,What is parametric design?,Cooking technique,Design using algorithmic parameters,Type of fabric,Music genre,1
Career Questions,Architecture,Which drawing type shows a bird's-eye view of a building?,Section,Elevation,Plan,Perspective,2
Question Bank,Architecture,What is the golden ratio approximately equal to?,1.618,2.414,1.414,3.14159,0
Question Bank,Architecture,What does CAD stand for in architecture?,Computer Aided Design,Central Architecture Database,Construction Area Drawing,Calculated Architectural Design,0
Question Bank,Architecture,What is a fenestration?,The arrangement of windows in a building,A type of foundation,A roofing material,A structural column,0
Question Bank,Architecture,What is passive solar design?,Designing buildings to use sunlight for heating and cooling,Using solar panels only,Installing solar water heaters,Using photovoltaic cells,0
Question Bank,Architecture,What is a load-bearing wall?,Wall that supports the weight of the structure above,Wall that is purely decorative,Wall used for insulation only,Partition wall,0
Question Bank,Architecture,What does BIM stand for?,Building Information Modeling,Basic Infrastructure Management,Building Inspection Method,Baseline Implementation Model,0
Question Bank,Architecture,What is the purpose of a parapet?,Low protective wall at roof edge,Foundation element,Ceiling structure,Decorative column,0
Question Bank,Architecture,What architectural movement emphasized function over decoration?,Modernism / Functionalism,Baroque,Rococo,Gothic Revival,0
Question Bank,Architecture,What is a curtain wall?,Non-structural exterior cladding system,Load-bearing stone wall,Underground retaining wall,Acoustic barrier wall,0
Question Bank,Architecture,What is an atrium?,Large open space inside a building often with glass roof,Underground space,Small enclosed room,Service shaft,0
Question Bank,Architecture,What is the purpose of a cantilever?,Structural element projecting beyond its support,Foundation element,Roof drainage system,Window frame,0
Question Bank,Architecture,What does LEED stand for?,Leadership in Energy and Environmental Design,Large Engineering Efficiency Design,Lightweight Ecological Engineering Development,Low Energy Environmental Design,0
Question Bank,Architecture,What is vernacular architecture?,Buildings using local materials and traditions,Buildings designed by famous architects,High-tech buildings,Underground buildings,0
Question Bank,Architecture,What is a buttress?,External support that counteracts lateral forces on a wall,Internal wall,Decorative pillar,Roof truss,0
