category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Bioscience,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Golgi apparatus,1
Question Bank,Bioscience,What molecule carries genetic information?,Protein,RNA,DNA,Lipid,2
Question Bank,Bioscience,What is osmosis?,Movement of solute,Movement of water across a semi-permeable membrane,Cell division,Protein synthesis,1
Question Bank,Bioscience,Which blood type is the universal donor?,A,B,AB,O negative,3
Question Bank,Bioscience,What is the pH of pure water?,5,7,9,11,1
Question Bank,Bioscience,What is the function of ribosomes?,Energy production,Protein synthesis,Cell division,Waste removal,1
Question Bank,Bioscience,What is PCR used for?,Cooking,Amplifying DNA,Measuring blood pressure,Testing water quality,1
Question Bank,Bioscience,Which organelle is responsible for photosynthesis?,Mitochondria,Chloroplast,Nucleus,Vacuole,1
Question Bank,Bioscience,What is an enzyme?,A type of mineral,A biological catalyst,A vitamin,A hormone,1
Question Bank,Bioscience,What does CRISPR stand for?,Computer Regulated Information System,Clustered Regularly Interspaced Short Palindromic Repeats,Chemical Reaction in Systematic Procedures,Cellular Reproduction in Specific Patterns,1
IQ Games,Bioscience,If a cell divides every 30 minutes starting from 1 how many cells after 3 hours?,32,64,128,256,1
IQ Games,Bioscience,A DNA strand has 30% adenine. What percentage is thymine?,20%,30%,40%,10%,1
IQ Games,Bioscience,How many chromosomes do human somatic cells have?,23,44,46,48,2
IQ Games,Bioscience,If a protein has 200 amino acids how many codons coded for it?,100,200,600,66,1
IQ Games,Bioscience,What is 10^3 ?,100,1000,10000,30,1
IQ Games,Bioscience,A bacteria population doubles every hour. Starting with 100 how many after 4 hours?,400,800,1600,3200,2
IQ Games,Bioscience,If a solution is 5% glucose how many grams per 100mL?,0.5,5,50,500,1
IQ Games,Bioscience,How many nucleotide bases are in DNA?,2,3,4,5,2
IQ Games,Bioscience,What comes next: 3 9 27 81 ?,162,243,324,729,1
IQ Games,Bioscience,A microscope magnifies 400x. If the eyepiece is 10x what is the objective lens?,4x,10x,40x,100x,2
Career Questions,Bioscience,Which field is growing rapidly in biosciences?,Coal mining,Biotechnology and genomics,Typewriter repair,Blacksmithing,1
Career Questions,Bioscience,What is the role of a research scientist?,Sell clothes,Conduct experiments and publish findings,Drive taxis,Cook food,1
Career Questions,Bioscience,Which degree is typically needed for bioscience research?,High school,Masters or PhD,Elementary,No degree,1
Career Questions,Bioscience,What laboratory skill is essential for bioscience graduates?,Painting,Aseptic technique and pipetting,Carpentry,Welding,1
Career Questions,Bioscience,Which industry hires bioscience graduates?,Fashion,Pharmaceutical and biotech companies,Automotive,Construction,1
Career Questions,Bioscience,What is bioinformatics?,Building houses,Using computational tools to analyze biological data,Cooking techniques,Fashion design,1
Career Questions,Bioscience,What should a bioscience student include in their CV?,Gaming stats,Lab experience and research publications,Movie reviews,Favorite songs,1
