category,department,text,option1,option2,option3,option4,correct_answer_index
Question Bank,Allied Health Sciences,What does BMI stand for?,Basic Medical Index,Body Mass Index,Blood Measurement Indicator,Biological Mass Information,1
Question Bank,Allied Health Sciences,What is the normal resting heart rate for adults?,40-60 bpm,60-100 bpm,100-120 bpm,120-150 bpm,1
Question Bank,Allied Health Sciences,Which imaging technique uses magnetic fields?,X-ray,MRI,Ultrasound,CT scan,1
Question Bank,Allied Health Sciences,What is physiotherapy primarily focused on?,Surgery,Physical rehabilitation and movement,Drug therapy,Dental care,1
Question Bank,Allied Health Sciences,What does CBC stand for in lab tests?,Complete Blood Count,Chemical Balance Check,Cellular Biology Classification,Chronic Body Condition,0
Question Bank,Allied Health Sciences,Which vitamin is produced when skin is exposed to sunlight?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,2
Question Bank,Allied Health Sciences,What is the purpose of a sphygmomanometer?,Measure temperature,Measure blood pressure,Measure oxygen,Measure glucose,1
Question Bank,Allied Health Sciences,What does ECG measure?,Brain activity,Heart electrical activity,Lung capacity,Muscle strength,1
Question Bank,Allied Health Sciences,What is the normal blood glucose fasting range?,40-60 mg/dL,70-100 mg/dL,120-160 mg/dL,200-250 mg/dL,1
Question Bank,Allied Health Sciences,What is an X-ray primarily used for?,Measuring blood pressure,Viewing bones and internal structures,Testing hearing,Checking vision,1
IQ Games,Allied Health Sciences,A patient's heart beats 72 times per minute. How many beats in one hour?,720,4320,7200,432,1
IQ Games,Allied Health Sciences,If a drug dose is 5mg/kg and patient weighs 60kg what is the total dose?,30mg,60mg,300mg,600mg,2
IQ Games,Allied Health Sciences,Normal body temperature in Celsius is approximately?,35째C,37째C,39째C,41째C,1
IQ Games,Allied Health Sciences,How many bones are in the adult human body?,106,206,306,406,1
IQ Games,Allied Health Sciences,If a patient needs 2L of fluid over 8 hours what is the rate per hour?,125mL,250mL,500mL,1000mL,1
IQ Games,Allied Health Sciences,Blood makes up approximately what percentage of body weight?,2%,4%,8%,15%,2
IQ Games,Allied Health Sciences,How many chambers does the human heart have?,2,3,4,5,2
IQ Games,Allied Health Sciences,If SpO2 is 95% what percentage of hemoglobin is NOT carrying oxygen?,1%,3%,5%,10%,2
IQ Games,Allied Health Sciences,What comes next: 100 95 90 85 ?,82,80,78,75,1
IQ Games,Allied Health Sciences,A stethoscope was invented in which century?,17th,18th,19th,20th,2
Career Questions,Allied Health Sciences,Which career path is available for allied health graduates?,Pilot,Medical laboratory technologist,Ship captain,Chef,1
Career Questions,Allied Health Sciences,What is the role of a radiologic technologist?,Take photos,Perform diagnostic imaging procedures,Design buildings,Fix cars,1
Career Questions,Allied Health Sciences,Which skill is most important for allied health professionals?,Speed eating,Patient care and empathy,Video gaming,Skateboarding,1
Career Questions,Allied Health Sciences,What does continuing education mean in healthcare?,Watching TV,Ongoing professional learning and certification,Reading novels,Cooking classes,1
Career Questions,Allied Health Sciences,Where do allied health professionals typically work?,Restaurants,Hospitals and clinics and rehab centers,Shopping malls,Movie theaters,1
Career Questions,Allied Health Sciences,What is evidence-based practice?,Following traditions,Using best research evidence for clinical decisions,Guessing treatments,Using only personal experience,1
Career Questions,Allied Health Sciences,Which certification body is relevant for lab technologists?,IEEE,ASCP,ACM,ASCE,1
Career Questions,Allied Health Sciences,What is a clinical rotation?,A spinning ride,Supervised hands-on training in healthcare settings,A dance move,A cooking technique,1
Career Questions,Allied Health Sciences,What is the importance of infection control?,It's optional,Prevents spread of diseases in healthcare settings,Only for surgeons,Not important,1
Career Questions,Allied Health Sciences,What should allied health students emphasize in interviews?,Hobbies,Clinical experience and patient interaction skills,Social media presence,Favorite foods,1
Question Bank,Allied Health Sciences,What does MRI stand for?,Magnetic Resonance Imaging,Manual Radiological Imaging,Magnetic Radiation Instrument,Medical Resonance Indicator,0
Question Bank,Allied Health Sciences,What is the normal human body temperature?,37캜 (98.6캟),36캜,38.5캜,35캜,0
Question Bank,Allied Health Sciences,What does ECG stand for?,Electrocardiogram,Electro Computed Gram,Electronic Cardiac Graph,Electro Chemical Graph,0
Question Bank,Allied Health Sciences,What is triage?,Process of sorting patients by urgency of care,Type of surgery,Medical record system,Discharge process,0
Question Bank,Allied Health Sciences,What does BMI stand for?,Body Mass Index,Bone Mineral Intake,Basic Metabolic Indicator,Blood Molecular Index,0
Question Bank,Allied Health Sciences,What is the function of a spirometer?,Measure lung capacity and airflow,Measure blood pressure,Measure heart rate,Measure body temperature,0
Question Bank,Allied Health Sciences,What is an X-ray used for primarily?,Visualise dense structures like bones,Visualise soft tissues in detail,Measure organ function,Monitor brain activity,0
Question Bank,Allied Health Sciences,What does CPR stand for?,Cardiopulmonary Resuscitation,Cerebral Pressure Release,Cardiac Peripheral Response,Coronary Protective Reaction,0
Question Bank,Allied Health Sciences,What is the role of a medical laboratory technician?,Perform diagnostic tests on biological samples,Prescribe medications,Conduct surgeries,Provide physiotherapy,0
